Server_0A	Server_0	Server_01	Server_0F	Server_0B	
3.303	3.568	3.121	3.409	3.025	
3.303	3.305	3.121	3.409	3.025	
3.303	3.663	3.121	3.409	3.025	
3.303	3.597	3.121	3.409	3.025	
3.303	3.320	3.121	3.409	3.025	
3.303	3.320	3.121	3.226	3.025	
3.303	3.320	3.121	3.379	3.025	
3.303	3.320	3.121	3.455	3.025	
3.303	3.320	3.121	3.738	3.025	
3.303	3.320	3.121	3.635	3.025	
3.303	3.320	3.121	3.583	3.025	
3.303	3.320	3.121	3.557	3.025	
3.303	3.320	3.121	3.300	3.025	
3.303	3.320	3.121	3.660	3.025	
3.303	3.320	3.121	3.596	3.025	
3.303	3.320	3.121	3.319	3.025	
3.303	3.320	3.121	3.425	3.025	
3.303	3.320	3.121	3.723	3.025	
3.303	3.320	3.121	3.627	3.025	
3.303	3.320	3.121	3.335	3.025	
3.303	3.320	3.121	3.433	3.025	
3.303	3.320	3.121	3.482	3.025	
3.303	3.320	3.121	3.262	3.025	
3.303	3.320	3.121	3.642	3.025	
3.303	3.320	3.121	3.587	3.025	
3.303	3.320	3.121	3.314	3.025	
3.303	3.320	3.121	3.423	3.025	
3.303	3.320	3.121	3.477	3.025	
3.303	3.320	3.121	3.749	3.025	
3.303	3.320	3.121	3.640	3.025	
3.303	3.320	3.121	3.586	3.025	
3.303	3.320	3.121	3.559	3.025	
3.303	3.320	3.121	3.545	3.025	
3.303	3.320	3.121	3.538	3.025	
3.303	3.320	3.121	3.290	3.025	
3.303	3.320	3.121	3.411	3.025	
3.303	3.320	3.121	3.471	3.025	
3.303	3.320	3.121	3.257	3.025	
3.303	3.320	3.121	3.394	3.025	
3.303	3.320	3.121	3.463	3.025	
3.303	3.320	3.121	3.252	3.025	
3.303	3.320	3.121	3.392	3.025	
3.303	3.320	3.121	3.462	3.025	
3.303	3.320	3.121	3.252	3.025	
3.303	3.320	3.121	3.392	3.025	
3.303	3.320	3.121	3.462	3.025	
3.303	3.320	3.121	3.252	3.025	
3.303	3.320	3.121	3.392	3.025	
3.303	3.320	3.121	3.462	3.025	
3.303	3.320	3.121	3.252	3.025	
3.303	3.320	3.121	3.392	3.025	
3.303	3.320	3.121	3.462	3.025	
3.303	3.320	3.121	3.252	3.025	
3.303	3.320	3.121	3.392	3.025	
3.303	3.320	3.121	3.217	3.025	
3.303	3.320	3.121	3.374	3.025	
3.303	3.320	3.121	3.453	3.025	
3.303	3.320	3.121	3.247	3.025	
3.303	3.320	3.121	3.389	3.025	
3.303	3.320	3.121	3.461	3.025	
3.303	3.320	3.121	3.251	3.025	
3.303	3.320	3.121	3.391	3.025	
3.303	3.320	3.121	3.217	3.025	
3.303	3.320	3.121	3.374	3.025	
3.303	3.320	3.121	3.208	3.025	
3.303	3.320	3.121	3.370	3.025	
3.303	3.320	3.121	3.206	3.025	
3.303	3.320	3.121	3.369	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.450	3.025	
3.303	3.320	3.121	3.246	3.025	
3.303	3.320	3.121	3.389	3.025	
3.303	3.320	3.121	3.215	3.025	
3.303	3.320	3.121	3.373	3.025	
3.303	3.320	3.121	3.208	3.025	
3.303	3.320	3.121	3.370	3.025	
3.303	3.320	3.121	3.206	3.025	
3.303	3.320	3.121	3.369	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.450	3.025	
3.303	3.320	3.121	3.246	3.025	
3.303	3.320	3.121	3.389	3.025	
3.303	3.320	3.121	3.215	3.025	
3.303	3.320	3.121	3.373	3.025	
3.303	3.320	3.121	3.208	3.025	
3.303	3.320	3.121	3.370	3.025	
3.303	3.320	3.121	3.206	3.025	
3.303	3.320	3.121	3.369	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.450	3.025	
3.303	3.320	3.121	3.246	3.025	
3.303	3.320	3.121	3.389	3.025	
3.303	3.320	3.121	3.215	3.025	
3.303	3.320	3.121	3.373	3.025	
3.303	3.320	3.121	3.208	3.025	
3.303	3.320	3.121	3.370	3.025	
3.303	3.320	3.121	3.206	3.025	
3.303	3.320	3.121	3.369	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.450	3.025	
3.303	3.320	3.121	3.246	3.025	
3.303	3.320	3.121	3.389	3.025	
3.303	3.320	3.121	3.215	3.025	
3.303	3.320	3.121	3.373	3.025	
3.303	3.320	3.121	3.208	3.025	
3.303	3.320	3.121	3.370	3.025	
3.303	3.320	3.121	3.206	3.025	
3.303	3.320	3.121	3.369	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.450	3.025	
3.303	3.320	3.121	3.246	3.025	
3.303	3.320	3.121	3.389	3.025	
3.303	3.320	3.121	3.215	3.025	
3.303	3.320	3.121	3.373	3.025	
3.303	3.320	3.121	3.208	3.025	
3.303	3.320	3.121	3.370	3.025	
3.303	3.320	3.121	3.206	3.025	
3.303	3.320	3.121	3.369	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
3.303	3.320	3.121	3.205	3.025	
3.303	3.320	3.121	3.368	3.025	
