Server_0D	Server_0	Server_0F	Server_0E	Server_03	
3.320	3.272	3.462	3.260	3.199	
3.320	3.272	3.252	3.260	3.199	
3.320	3.272	3.392	3.260	3.199	
3.320	3.272	3.217	3.260	3.199	
3.320	3.272	3.374	3.260	3.199	
3.320	3.272	3.453	3.260	3.199	
3.320	3.272	3.247	3.260	3.199	
3.320	3.272	3.389	3.260	3.199	
3.320	3.272	3.461	3.260	3.199	
3.320	3.272	3.251	3.260	3.199	
3.320	3.272	3.391	3.260	3.199	
3.320	3.272	3.461	3.260	3.199	
3.320	3.272	3.252	3.260	3.199	
3.320	3.272	3.392	3.260	3.199	
3.320	3.272	3.217	3.260	3.199	
3.320	3.272	3.374	3.260	3.199	
3.320	3.272	3.208	3.260	3.199	
3.320	3.272	3.370	3.260	3.199	
3.320	3.272	3.206	3.260	3.199	
3.320	3.272	3.369	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.450	3.260	3.199	
3.320	3.272	3.246	3.260	3.199	
3.320	3.272	3.389	3.260	3.199	
3.320	3.272	3.215	3.260	3.199	
3.320	3.272	3.373	3.260	3.199	
3.320	3.272	3.208	3.260	3.199	
3.320	3.272	3.370	3.260	3.199	
3.320	3.272	3.206	3.260	3.199	
3.320	3.272	3.369	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.450	3.260	3.199	
3.320	3.272	3.246	3.260	3.199	
3.320	3.272	3.389	3.260	3.199	
3.320	3.272	3.215	3.260	3.199	
3.320	3.272	3.373	3.260	3.199	
3.320	3.272	3.208	3.260	3.199	
3.320	3.272	3.370	3.260	3.199	
3.320	3.272	3.206	3.260	3.199	
3.320	3.272	3.369	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.450	3.260	3.199	
3.320	3.272	3.246	3.260	3.199	
3.320	3.272	3.389	3.260	3.199	
3.320	3.272	3.215	3.260	3.199	
3.320	3.272	3.373	3.260	3.199	
3.320	3.272	3.208	3.260	3.199	
3.320	3.272	3.370	3.260	3.199	
3.320	3.272	3.206	3.260	3.199	
3.320	3.272	3.369	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.450	3.260	3.199	
3.320	3.272	3.246	3.260	3.199	
3.320	3.272	3.389	3.260	3.199	
3.320	3.272	3.215	3.260	3.199	
3.320	3.272	3.373	3.260	3.199	
3.320	3.272	3.208	3.260	3.199	
3.320	3.272	3.370	3.260	3.199	
3.320	3.272	3.206	3.260	3.199	
3.320	3.272	3.369	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.450	3.260	3.199	
3.320	3.272	3.246	3.260	3.199	
3.320	3.272	3.389	3.260	3.199	
3.320	3.272	3.215	3.260	3.199	
3.320	3.272	3.373	3.260	3.199	
3.320	3.272	3.208	3.260	3.199	
3.320	3.272	3.370	3.260	3.199	
3.320	3.272	3.206	3.260	3.199	
3.320	3.272	3.369	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.205	3.260	3.199	
3.320	3.272	3.368	3.260	3.199	
3.320	3.272	3.450	3.260	3.199	
3.320	3.272	3.246	3.260	3.199	
3.320	3.272	3.389	3.260	3.199	
