Server_08	Server_0	Server_0A	Server_0C	Server_07	
3.295	3.626	3.384	3.058	3.372	
3.295	3.334	3.384	3.058	3.372	
3.295	3.678	3.384	3.058	3.372	
3.295	3.605	3.384	3.058	3.372	
3.295	3.568	3.384	3.058	3.372	
3.295	3.305	3.384	3.058	3.372	
3.295	3.663	3.384	3.058	3.372	
3.295	3.597	3.384	3.058	3.372	
3.295	3.320	3.384	3.058	3.372	
3.295	3.320	3.213	3.058	3.372	
3.295	3.320	3.372	3.058	3.372	
3.295	3.320	3.452	3.058	3.372	
3.295	3.320	3.737	3.058	3.372	
3.295	3.320	3.634	3.058	3.372	
3.295	3.320	3.338	3.058	3.372	
3.295	3.320	3.435	3.058	3.372	
3.295	3.320	3.728	3.058	3.372	
3.295	3.320	3.630	3.058	3.372	
3.295	3.320	3.581	3.058	3.372	
3.295	3.320	3.556	3.058	3.372	
3.295	3.320	3.544	3.058	3.372	
3.295	3.320	3.293	3.058	3.372	
3.295	3.320	3.412	3.058	3.372	
3.295	3.320	3.717	3.058	3.372	
3.295	3.320	3.624	3.058	3.372	
3.295	3.320	3.578	3.058	3.372	
3.295	3.320	3.310	3.058	3.372	
3.295	3.320	3.310	3.058	3.207	
3.295	3.320	3.310	3.058	3.369	
3.295	3.320	3.310	3.058	3.695	
3.295	3.320	3.310	3.058	3.613	
3.295	3.320	3.310	3.058	3.817	
3.295	3.320	3.310	3.058	3.674	
3.295	3.320	3.310	3.058	3.603	
3.295	3.320	3.310	3.058	3.322	
3.295	3.320	3.310	3.058	3.182	
3.295	3.320	3.310	3.058	3.602	
3.295	3.320	3.310	3.058	3.567	
3.295	3.320	3.310	3.058	3.304	
3.295	3.320	3.310	3.058	3.663	
3.295	3.320	3.310	3.058	3.597	
3.295	3.320	3.310	3.058	3.564	
3.295	3.320	3.310	3.058	3.548	
3.295	3.320	3.310	3.058	3.540	
3.295	3.320	3.310	3.058	3.536	
3.295	3.320	3.310	3.058	3.289	
3.295	3.320	3.310	3.058	3.655	
3.295	3.320	3.310	3.058	3.593	
3.295	3.320	3.310	3.058	3.562	
3.295	3.320	3.310	3.058	3.547	
3.295	3.320	3.310	3.058	3.539	
3.295	3.320	3.310	3.058	3.535	
3.295	3.320	3.310	3.058	3.534	
3.295	3.320	3.310	3.058	3.533	
3.295	3.320	3.310	3.058	3.532	
3.295	3.320	3.310	3.058	3.532	
3.295	3.320	3.310	3.058	3.532	
3.295	3.320	3.310	3.058	3.287	
3.295	3.320	3.310	3.058	3.654	
3.295	3.320	3.310	3.058	3.348	
3.295	3.320	3.310	3.058	3.195	
3.295	3.320	3.310	3.058	3.608	
3.295	3.320	3.310	3.058	3.570	
3.295	3.320	3.310	3.058	3.306	
3.295	3.320	3.310	3.058	3.419	
3.295	3.320	3.310	3.058	3.720	
3.295	3.320	3.310	3.058	3.626	
3.295	3.320	3.310	3.058	3.334	
3.295	3.320	3.310	3.058	3.188	
3.295	3.320	3.310	3.058	3.604	
3.295	3.320	3.310	3.058	3.323	
3.295	3.320	3.310	3.058	3.182	
3.295	3.320	3.310	3.058	3.602	
3.295	3.320	3.310	3.058	3.567	
3.295	3.320	3.310	3.058	3.549	
3.295	3.320	3.310	3.058	3.295	
3.295	3.320	3.310	3.058	3.658	
3.295	3.320	3.310	3.058	3.595	
3.295	3.320	3.310	3.058	3.563	
3.295	3.320	3.310	3.058	3.547	
3.295	3.320	3.310	3.058	3.295	
3.295	3.320	3.310	3.058	3.413	
3.295	3.320	3.310	3.058	3.472	
3.295	3.320	3.310	3.058	3.747	
3.295	3.320	3.310	3.058	3.639	
3.295	3.320	3.310	3.058	3.585	
3.295	3.320	3.310	3.058	3.558	
3.295	3.320	3.310	3.058	3.545	
3.295	3.320	3.310	3.058	3.538	
3.295	3.320	3.310	3.058	3.535	
3.295	3.320	3.310	3.058	3.288	
3.295	3.181	3.310	3.058	3.288	
3.295	3.356	3.310	3.058	3.288	
3.295	3.444	3.310	3.058	3.288	
3.295	3.243	3.310	3.058	3.288	
3.295	3.387	3.310	3.058	3.288	
3.295	3.459	3.310	3.058	3.288	
3.295	3.495	3.310	3.058	3.288	
3.295	3.269	3.310	3.058	3.288	
3.295	3.400	3.310	3.058	3.288	
3.295	3.466	3.310	3.058	3.288	
3.295	3.254	3.310	3.058	3.288	
3.295	3.393	3.310	3.058	3.288	
3.295	3.462	3.310	3.058	3.288	
3.295	3.497	3.310	3.058	3.288	
3.295	3.269	3.310	3.058	3.288	
3.295	3.400	3.310	3.058	3.288	
3.295	3.466	3.310	3.058	3.288	
3.295	3.499	3.310	3.058	3.288	
3.295	3.270	3.310	3.058	3.288	
3.295	3.401	3.310	3.058	3.288	
3.295	3.466	3.310	3.058	3.288	
3.295	3.254	3.310	3.058	3.288	
3.295	3.393	3.310	3.058	3.288	
3.295	3.462	3.310	3.058	3.288	
3.295	3.252	3.310	3.058	3.288	
3.295	3.392	3.310	3.058	3.288	
3.295	3.462	3.310	3.058	3.288	
3.295	3.497	3.310	3.058	3.288	
3.295	3.269	3.310	3.058	3.288	
3.295	3.400	3.310	3.058	3.288	
3.295	3.466	3.310	3.058	3.288	
3.295	3.254	3.310	3.058	3.288	
3.295	3.393	3.310	3.058	3.288	
3.295	3.217	3.310	3.058	3.288	
3.295	3.374	3.310	3.058	3.288	
3.295	3.208	3.310	3.058	3.288	
3.295	3.370	3.310	3.058	3.288	
3.295	3.451	3.310	3.058	3.288	
3.295	3.246	3.310	3.058	3.288	
3.295	3.389	3.310	3.058	3.288	
3.295	3.215	3.310	3.058	3.288	
3.295	3.373	3.310	3.058	3.288	
3.295	3.208	3.310	3.058	3.288	
3.295	3.370	3.310	3.058	3.288	
3.295	3.451	3.310	3.058	3.288	
3.295	3.246	3.310	3.058	3.288	
3.295	3.389	3.310	3.058	3.288	
3.295	3.215	3.310	3.058	3.288	
3.295	3.373	3.310	3.058	3.288	
3.295	3.208	3.310	3.058	3.288	
3.295	3.370	3.310	3.058	3.288	
3.295	3.206	3.310	3.058	3.288	
3.295	3.369	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
3.295	3.368	3.310	3.058	3.288	
3.295	3.205	3.310	3.058	3.288	
