Server_0D	Server_0	Server_0B	Server_05	Server_0A	
3.303	3.319	3.077	3.575	3.321	
3.303	3.319	3.077	3.308	3.321	
3.303	3.319	3.077	3.665	3.321	
3.303	3.319	3.077	3.598	3.321	
3.303	3.319	3.077	3.320	3.321	
3.303	3.319	3.077	3.320	3.181	
3.303	3.319	3.077	3.320	3.356	
3.303	3.319	3.077	3.320	3.444	
3.303	3.319	3.077	3.320	3.733	
3.303	3.319	3.077	3.320	3.632	
3.303	3.319	3.077	3.320	3.827	
3.303	3.319	3.077	3.320	3.679	
3.303	3.319	3.077	3.320	3.605	
3.303	3.319	3.077	3.320	3.324	
3.303	3.319	3.077	3.320	3.428	
3.303	3.319	3.077	3.320	3.480	
3.303	3.319	3.077	3.320	3.506	
3.303	3.319	3.077	3.320	3.519	
3.303	3.319	3.077	3.320	3.280	
3.303	3.319	3.077	3.320	3.406	
3.303	3.319	3.077	3.320	3.714	
3.303	3.319	3.077	3.320	3.623	
3.303	3.319	3.077	3.320	3.577	
3.303	3.319	3.077	3.320	3.309	
3.303	3.319	3.077	3.320	3.421	
3.303	3.319	3.077	3.320	3.721	
3.303	3.319	3.077	3.320	3.381	
3.303	3.319	3.077	3.320	3.456	
3.303	3.319	3.077	3.320	3.739	
3.303	3.319	3.077	3.320	3.635	
3.303	3.319	3.077	3.320	3.339	
3.303	3.319	3.077	3.320	3.435	
3.303	3.319	3.077	3.320	3.238	
3.303	3.319	3.077	3.320	3.630	
3.303	3.319	3.077	3.320	3.336	
3.303	3.319	3.077	3.320	3.189	
3.303	3.319	3.077	3.320	3.605	
3.303	3.319	3.077	3.320	3.568	
3.303	3.319	3.077	3.320	3.305	
3.303	3.319	3.077	3.320	3.663	
3.303	3.319	3.077	3.320	3.597	
3.303	3.319	3.077	3.320	3.320	
3.303	3.319	3.077	3.320	3.670	
3.303	3.319	3.077	3.320	3.601	
3.303	3.319	3.077	3.320	3.566	
3.303	3.319	3.077	3.320	3.549	
3.303	3.319	3.077	3.320	3.540	
3.303	3.319	3.077	3.320	3.536	
3.303	3.319	3.077	3.320	3.534	
3.303	3.319	3.077	3.320	3.533	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.287	
3.303	3.319	3.077	3.320	3.409	
3.303	3.319	3.077	3.320	3.226	
3.303	3.319	3.077	3.320	3.379	
3.303	3.319	3.077	3.320	3.700	
3.303	3.319	3.077	3.320	3.371	
3.303	3.319	3.077	3.320	3.696	
3.303	3.319	3.077	3.320	3.369	
3.303	3.319	3.077	3.320	3.205	
3.303	3.319	3.077	3.320	3.613	
3.303	3.319	3.077	3.320	3.572	
3.303	3.319	3.077	3.320	3.552	
3.303	3.319	3.077	3.320	3.542	
3.303	3.319	3.077	3.320	3.537	
3.303	3.319	3.077	3.320	3.534	
3.303	3.319	3.077	3.320	3.533	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.287	
3.303	3.319	3.077	3.320	3.409	
3.303	3.319	3.077	3.320	3.715	
3.303	3.319	3.077	3.320	3.623	
3.303	3.319	3.077	3.320	3.577	
3.303	3.319	3.077	3.320	3.555	
3.303	3.319	3.077	3.320	3.543	
3.303	3.319	3.077	3.320	3.537	
3.303	3.319	3.077	3.320	3.534	
3.303	3.319	3.077	3.320	3.533	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.776	
3.303	3.319	3.077	3.320	3.654	
3.303	3.319	3.077	3.320	3.593	
3.303	3.319	3.077	3.320	3.562	
3.303	3.319	3.077	3.320	3.547	
3.303	3.319	3.077	3.320	3.539	
3.303	3.319	3.077	3.320	3.535	
3.303	3.319	3.077	3.320	3.534	
3.303	3.319	3.077	3.320	3.533	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.532	
3.303	3.319	3.077	3.320	3.287	
3.303	3.319	3.077	3.320	3.654	
3.303	3.319	3.077	3.320	3.593	
3.303	3.319	3.077	3.320	3.562	
3.303	3.319	3.077	3.320	3.792	
3.303	3.319	3.077	3.320	3.662	
3.303	3.319	3.077	3.320	3.597	
3.303	3.319	3.077	3.320	3.564	
3.303	3.319	3.077	3.320	3.548	
3.303	3.319	3.077	3.320	3.785	
3.303	3.319	3.077	3.320	3.658	
3.303	3.319	3.077	3.320	3.595	
3.303	3.319	3.077	3.320	3.563	
3.303	3.319	3.077	3.320	3.547	
3.303	3.319	3.077	3.320	3.539	
3.303	3.319	3.077	3.320	3.536	
3.303	3.319	3.077	3.320	3.289	
3.303	3.319	3.077	3.320	3.655	
3.303	3.319	3.077	3.320	3.593	
3.303	3.319	3.077	3.320	3.562	
3.303	3.319	3.077	3.320	3.547	
3.303	3.319	3.077	3.320	3.539	
3.303	3.319	3.077	3.320	3.535	
3.303	3.319	3.077	3.320	3.534	
3.303	3.319	3.077	3.320	3.533	
3.303	3.319	3.077	3.320	3.287	
3.303	3.319	3.077	3.320	3.409	
3.303	3.319	3.077	3.320	3.715	
3.303	3.319	3.077	3.320	3.623	
3.303	3.319	3.077	3.320	3.333	
3.303	3.319	3.077	3.320	3.677	
3.303	3.319	3.077	3.320	3.604	
3.303	3.319	3.077	3.320	3.568	
3.303	3.319	3.077	3.320	3.305	
3.303	3.319	3.077	3.320	3.663	
3.303	3.319	3.077	3.320	3.352	
3.303	3.319	3.077	3.320	3.197	
3.303	3.319	3.077	3.320	3.609	
3.303	3.319	3.077	3.320	3.570	
3.303	3.319	3.077	3.320	3.306	
3.303	3.319	3.077	3.181	3.306	
3.303	3.319	3.077	3.356	3.306	
3.303	3.319	3.077	3.444	3.306	
3.303	3.319	3.077	3.733	3.306	
3.303	3.319	3.077	3.632	3.306	
3.303	3.319	3.077	3.582	3.306	
3.303	3.319	3.077	3.557	3.306	
3.303	3.319	3.077	3.544	3.306	
3.303	3.319	3.077	3.538	3.306	
3.303	3.319	3.077	3.535	3.306	
3.303	3.319	3.077	3.533	3.306	
3.303	3.319	3.077	3.532	3.306	
3.303	3.319	3.077	3.532	3.306	
3.303	3.319	3.077	3.532	3.306	
3.303	3.319	3.077	3.532	3.306	
3.303	3.319	3.077	3.287	3.306	
3.303	3.319	3.077	3.654	3.306	
