Server_0E	Server_0	Server_0B	Server_03	Server_0D	
3.294	3.500	3.303	3.318	3.334	
3.294	3.516	3.303	3.318	3.334	
3.294	3.279	3.303	3.318	3.334	
3.294	3.405	3.303	3.318	3.334	
3.294	3.468	3.303	3.318	3.334	
3.294	3.500	3.303	3.318	3.334	
3.294	3.271	3.303	3.318	3.334	
3.294	3.401	3.303	3.318	3.334	
3.294	3.466	3.303	3.318	3.334	
3.294	3.254	3.303	3.318	3.334	
3.294	3.393	3.303	3.318	3.334	
3.294	3.462	3.303	3.318	3.334	
3.294	3.497	3.303	3.318	3.334	
3.294	3.269	3.303	3.318	3.334	
3.294	3.400	3.303	3.318	3.334	
3.294	3.466	3.303	3.318	3.334	
3.294	3.254	3.303	3.318	3.334	
3.294	3.393	3.303	3.318	3.334	
3.294	3.462	3.303	3.318	3.334	
3.294	3.497	3.303	3.318	3.334	
3.294	3.269	3.303	3.318	3.334	
3.294	3.400	3.303	3.318	3.334	
3.294	3.466	3.303	3.318	3.334	
3.294	3.254	3.303	3.318	3.334	
3.294	3.393	3.303	3.318	3.334	
3.294	3.462	3.303	3.318	3.334	
3.294	3.497	3.303	3.318	3.334	
3.294	3.269	3.303	3.318	3.334	
3.294	3.400	3.303	3.318	3.334	
3.294	3.466	3.303	3.318	3.334	
3.294	3.254	3.303	3.318	3.334	
3.294	3.393	3.303	3.318	3.334	
3.294	3.462	3.303	3.318	3.334	
3.294	3.497	3.303	3.318	3.334	
3.294	3.269	3.303	3.318	3.334	
3.294	3.400	3.303	3.318	3.334	
3.294	3.466	3.303	3.318	3.334	
3.294	3.254	3.303	3.318	3.334	
3.294	3.393	3.303	3.318	3.334	
3.294	3.217	3.303	3.318	3.334	
3.294	3.374	3.303	3.318	3.334	
3.294	3.453	3.303	3.318	3.334	
3.294	3.247	3.303	3.318	3.334	
3.294	3.389	3.303	3.318	3.334	
3.294	3.216	3.303	3.318	3.334	
3.294	3.374	3.303	3.318	3.334	
3.294	3.208	3.303	3.318	3.334	
3.294	3.370	3.303	3.318	3.334	
3.294	3.451	3.303	3.318	3.334	
3.294	3.246	3.303	3.318	3.334	
3.294	3.389	3.303	3.318	3.334	
3.294	3.215	3.303	3.318	3.334	
3.294	3.373	3.303	3.318	3.334	
3.294	3.208	3.303	3.318	3.334	
3.294	3.370	3.303	3.318	3.334	
3.294	3.206	3.303	3.318	3.334	
3.294	3.369	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
3.294	3.368	3.303	3.318	3.334	
3.294	3.205	3.303	3.318	3.334	
