Server_06	Server_0	Server_03	Server_0A	Server_0D	
3.646	3.649	3.546	3.603	3.672	
3.646	3.649	3.546	3.603	3.602	
3.646	3.590	3.546	3.603	3.602	
3.589	3.590	3.546	3.603	3.602	
3.589	3.590	3.546	3.322	3.602	
3.589	3.590	3.546	3.672	3.602	
3.589	3.590	3.546	3.357	3.602	
3.589	3.590	3.546	3.357	3.322	
3.589	3.590	3.546	3.357	3.671	
3.589	3.590	3.546	3.357	3.602	
3.589	3.590	3.546	3.357	3.322	
3.589	3.590	3.546	3.357	3.671	
3.589	3.590	3.546	3.357	3.602	
3.589	3.590	3.546	3.357	3.811	
3.589	3.590	3.546	3.357	3.427	
3.589	3.561	3.546	3.357	3.427	
3.315	3.561	3.546	3.357	3.427	
3.668	3.561	3.546	3.357	3.427	
3.355	3.561	3.546	3.357	3.427	
3.355	3.546	3.546	3.357	3.427	
3.355	3.546	3.294	3.357	3.427	
3.355	3.546	3.658	3.357	3.427	
3.355	3.546	3.595	3.357	3.427	
3.355	3.546	3.318	3.357	3.427	
3.355	3.546	3.670	3.357	3.427	
3.355	3.546	3.601	3.357	3.427	
3.355	3.546	3.566	3.357	3.427	
3.355	3.546	3.549	3.357	3.427	
3.355	3.546	3.295	3.357	3.427	
3.355	3.539	3.295	3.357	3.427	
3.355	3.780	3.295	3.357	3.427	
3.355	3.411	3.295	3.357	3.427	
3.355	3.411	3.295	3.357	3.234	
3.355	3.411	3.295	3.357	3.628	
3.355	3.411	3.295	3.357	3.580	
3.355	3.411	3.295	3.357	3.311	
3.355	3.411	3.295	3.357	3.666	
3.355	3.411	3.295	3.357	3.599	
3.355	3.411	3.295	3.357	3.320	
3.355	3.226	3.295	3.357	3.320	
3.355	3.379	3.295	3.357	3.320	
3.355	3.700	3.295	3.357	3.320	
3.355	3.616	3.295	3.357	3.320	
3.355	3.329	3.295	3.357	3.320	
3.355	3.675	3.295	3.357	3.320	
3.355	3.603	3.295	3.357	3.320	
3.355	3.323	3.295	3.357	3.320	
3.355	3.323	3.295	3.199	3.320	
3.355	3.323	3.295	3.610	3.320	
3.355	3.323	3.295	3.326	3.320	
3.355	3.323	3.295	3.674	3.320	
3.355	3.323	3.295	3.603	3.320	
3.355	3.323	3.295	3.567	3.320	
3.355	3.323	3.295	3.549	3.320	
3.355	3.323	3.295	3.540	3.320	
3.355	3.323	3.295	3.536	3.320	
3.355	3.323	3.295	3.289	3.320	
3.355	3.323	3.295	3.655	3.320	
3.355	3.323	3.295	3.593	3.320	
3.355	3.323	3.295	3.562	3.320	
3.355	3.323	3.295	3.547	3.320	
3.355	3.323	3.295	3.294	3.320	
3.355	3.323	3.295	3.658	3.320	
3.355	3.323	3.295	3.595	3.320	
3.355	3.323	3.295	3.563	3.320	
3.355	3.323	3.295	3.302	3.320	
3.355	3.323	3.295	3.417	3.320	
3.355	3.323	3.295	3.719	3.320	
3.355	3.323	3.295	3.380	3.320	
3.355	3.323	3.295	3.211	3.320	
3.355	3.323	3.295	3.616	3.320	
3.355	3.323	3.295	3.574	3.320	
3.355	3.323	3.295	3.553	3.320	
3.355	3.323	3.295	3.542	3.320	
3.355	3.323	3.295	3.292	3.320	
3.355	3.323	3.295	3.657	3.320	
3.355	3.323	3.295	3.349	3.320	
3.198	3.323	3.295	3.349	3.320	
3.365	3.323	3.295	3.349	3.320	
3.693	3.323	3.295	3.349	3.320	
3.612	3.323	3.295	3.349	3.320	
3.572	3.323	3.295	3.349	3.320	
3.552	3.323	3.295	3.349	3.320	
3.542	3.323	3.295	3.349	3.320	
3.537	3.323	3.295	3.349	3.320	
3.534	3.323	3.295	3.349	3.320	
3.533	3.323	3.295	3.349	3.320	
3.287	3.323	3.295	3.349	3.320	
3.409	3.323	3.295	3.349	3.320	
3.715	3.323	3.295	3.349	3.320	
3.379	3.323	3.295	3.349	3.320	
3.210	3.323	3.295	3.349	3.320	
3.616	3.323	3.295	3.349	3.320	
3.574	3.323	3.295	3.349	3.320	
3.553	3.323	3.295	3.349	3.320	
3.542	3.323	3.295	3.349	3.320	
3.292	3.323	3.295	3.349	3.320	
3.657	3.323	3.295	3.349	3.320	
3.594	3.323	3.295	3.349	3.320	
3.318	3.323	3.295	3.349	3.320	
3.318	3.323	3.295	3.195	3.320	
3.318	3.323	3.295	3.364	3.320	
3.318	3.323	3.295	3.448	3.320	
3.318	3.323	3.295	3.734	3.320	
3.318	3.323	3.295	3.633	3.320	
3.318	3.323	3.295	3.582	3.320	
3.318	3.323	3.295	3.557	3.320	
3.318	3.323	3.295	3.544	3.320	
3.318	3.323	3.295	3.538	3.320	
3.318	3.323	3.295	3.535	3.320	
3.318	3.323	3.295	3.533	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.287	3.320	
3.318	3.323	3.295	3.654	3.320	
3.318	3.323	3.295	3.593	3.320	
3.318	3.323	3.295	3.562	3.320	
3.318	3.323	3.295	3.547	3.320	
3.318	3.323	3.295	3.539	3.320	
3.318	3.323	3.295	3.535	3.320	
3.318	3.323	3.295	3.534	3.320	
3.318	3.323	3.295	3.533	3.320	
3.318	3.323	3.295	3.777	3.320	
3.318	3.323	3.295	3.654	3.320	
3.318	3.323	3.295	3.593	3.320	
3.318	3.323	3.295	3.562	3.320	
3.318	3.323	3.295	3.547	3.320	
3.318	3.323	3.295	3.539	3.320	
3.318	3.323	3.295	3.535	3.320	
3.318	3.323	3.295	3.534	3.320	
3.318	3.323	3.295	3.533	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.287	3.320	
3.318	3.323	3.295	3.654	3.320	
3.318	3.323	3.295	3.593	3.320	
3.318	3.323	3.295	3.562	3.320	
3.318	3.323	3.295	3.547	3.320	
3.318	3.323	3.295	3.539	3.320	
3.318	3.323	3.295	3.291	3.320	
3.318	3.323	3.295	3.656	3.320	
3.318	3.323	3.295	3.594	3.320	
3.318	3.323	3.295	3.563	3.320	
3.318	3.323	3.295	3.547	3.320	
3.318	3.323	3.295	3.784	3.320	
3.318	3.323	3.295	3.658	3.320	
3.318	3.323	3.295	3.595	3.320	
3.318	3.323	3.295	3.563	3.320	
3.318	3.323	3.295	3.547	3.320	
3.318	3.323	3.295	3.784	3.320	
3.318	3.323	3.295	3.658	3.320	
3.318	3.323	3.295	3.595	3.320	
3.318	3.323	3.295	3.563	3.320	
3.318	3.323	3.295	3.547	3.320	
3.318	3.323	3.295	3.539	3.320	
3.318	3.323	3.295	3.291	3.320	
3.318	3.323	3.295	3.411	3.320	
3.318	3.323	3.295	3.716	3.320	
3.318	3.323	3.295	3.624	3.320	
3.318	3.323	3.295	3.578	3.320	
3.318	3.323	3.295	3.555	3.320	
3.318	3.323	3.295	3.543	3.320	
3.318	3.323	3.295	3.537	3.320	
3.318	3.323	3.295	3.534	3.320	
3.318	3.323	3.295	3.533	3.320	
3.318	3.323	3.295	3.287	3.320	
3.318	3.323	3.295	3.654	3.320	
3.318	3.323	3.295	3.593	3.320	
3.318	3.323	3.295	3.317	3.320	
3.318	3.323	3.295	3.424	3.320	
3.318	3.323	3.295	3.723	3.320	
3.318	3.323	3.295	3.627	3.320	
3.318	3.323	3.295	3.335	3.320	
3.318	3.323	3.295	3.433	3.320	
3.318	3.323	3.295	3.482	3.320	
3.318	3.323	3.295	3.262	3.320	
3.318	3.323	3.295	3.397	3.320	
3.318	3.323	3.295	3.709	3.320	
3.318	3.323	3.295	3.375	3.320	
3.318	3.323	3.295	3.453	3.320	
3.318	3.323	3.295	3.737	3.320	
3.318	3.323	3.295	3.634	3.320	
3.318	3.323	3.295	3.583	3.320	
3.318	3.323	3.295	3.557	3.320	
3.318	3.323	3.295	3.544	3.320	
3.318	3.323	3.295	3.538	3.320	
3.318	3.323	3.295	3.535	3.320	
3.318	3.323	3.295	3.533	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.532	3.320	
3.318	3.323	3.295	3.287	3.320	
3.318	3.323	3.295	3.654	3.320	
3.318	3.323	3.295	3.593	3.320	
3.318	3.323	3.295	3.562	3.320	
