Server_0C	Server_0	Server_0A	Server_01	Server_0B	
3.322	3.546	3.478	3.321	3.172	
3.322	3.294	3.478	3.321	3.172	
3.322	3.658	3.478	3.321	3.172	
3.322	3.595	3.478	3.321	3.172	
3.322	3.563	3.478	3.321	3.172	
3.322	3.302	3.478	3.321	3.172	
3.322	3.417	3.478	3.321	3.172	
3.322	3.719	3.478	3.321	3.172	
3.322	3.625	3.478	3.321	3.172	
3.322	3.334	3.478	3.321	3.172	
3.322	3.677	3.478	3.321	3.172	
3.322	3.604	3.478	3.321	3.172	
3.322	3.568	3.478	3.321	3.172	
3.322	3.305	3.478	3.321	3.172	
3.322	3.663	3.478	3.321	3.172	
3.322	3.597	3.478	3.321	3.172	
3.322	3.320	3.478	3.321	3.172	
3.322	3.320	3.260	3.321	3.172	
3.322	3.320	3.396	3.321	3.172	
3.322	3.320	3.464	3.321	3.172	
3.322	3.320	3.742	3.321	3.172	
3.322	3.320	3.637	3.321	3.172	
3.322	3.320	3.584	3.321	3.172	
3.322	3.320	3.313	3.321	3.172	
3.322	3.320	3.667	3.321	3.172	
3.322	3.320	3.599	3.321	3.172	
3.322	3.320	3.321	3.321	3.172	
3.322	3.320	3.426	3.321	3.172	
3.322	3.320	3.724	3.321	3.172	
3.322	3.320	3.628	3.321	3.172	
3.322	3.320	3.335	3.321	3.172	
3.322	3.320	3.433	3.321	3.172	
3.322	3.320	3.727	3.321	3.172	
3.322	3.320	3.629	3.321	3.172	
3.322	3.320	3.580	3.321	3.172	
3.322	3.320	3.556	3.321	3.172	
3.322	3.320	3.544	3.321	3.172	
3.322	3.320	3.293	3.321	3.172	
3.322	3.320	3.657	3.321	3.172	
3.322	3.320	3.594	3.321	3.172	
3.322	3.320	3.563	3.321	3.172	
3.322	3.320	3.547	3.321	3.172	
3.322	3.320	3.295	3.321	3.172	
3.182	3.320	3.295	3.321	3.172	
3.357	3.320	3.295	3.321	3.172	
3.199	3.320	3.295	3.321	3.172	
3.365	3.320	3.295	3.321	3.172	
3.204	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.450	3.320	3.295	3.321	3.172	
3.246	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.215	3.320	3.295	3.321	3.172	
3.373	3.320	3.295	3.321	3.172	
3.208	3.320	3.295	3.321	3.172	
3.370	3.320	3.295	3.321	3.172	
3.206	3.320	3.295	3.321	3.172	
3.369	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.450	3.320	3.295	3.321	3.172	
3.246	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.215	3.320	3.295	3.321	3.172	
3.373	3.320	3.295	3.321	3.172	
3.453	3.320	3.295	3.321	3.172	
3.247	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.216	3.320	3.295	3.321	3.172	
3.374	3.320	3.295	3.321	3.172	
3.453	3.320	3.295	3.321	3.172	
3.247	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.216	3.320	3.295	3.321	3.172	
3.374	3.320	3.295	3.321	3.172	
3.208	3.320	3.295	3.321	3.172	
3.370	3.320	3.295	3.321	3.172	
3.206	3.320	3.295	3.321	3.172	
3.369	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.450	3.320	3.295	3.321	3.172	
3.246	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.460	3.320	3.295	3.321	3.172	
3.251	3.320	3.295	3.321	3.172	
3.391	3.320	3.295	3.321	3.172	
3.461	3.320	3.295	3.321	3.172	
3.252	3.320	3.295	3.321	3.172	
3.392	3.320	3.295	3.321	3.172	
3.462	3.320	3.295	3.321	3.172	
3.252	3.320	3.295	3.321	3.172	
3.392	3.320	3.295	3.321	3.172	
3.462	3.320	3.295	3.321	3.172	
3.252	3.320	3.295	3.321	3.172	
3.392	3.320	3.295	3.321	3.172	
3.462	3.320	3.295	3.321	3.172	
3.252	3.320	3.295	3.321	3.172	
3.392	3.320	3.295	3.321	3.172	
3.217	3.320	3.295	3.321	3.172	
3.374	3.320	3.295	3.321	3.172	
3.453	3.320	3.295	3.321	3.172	
3.247	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.461	3.320	3.295	3.321	3.172	
3.251	3.320	3.295	3.321	3.172	
3.391	3.320	3.295	3.321	3.172	
3.461	3.320	3.295	3.321	3.172	
3.252	3.320	3.295	3.321	3.172	
3.392	3.320	3.295	3.321	3.172	
3.217	3.320	3.295	3.321	3.172	
3.374	3.320	3.295	3.321	3.172	
3.453	3.320	3.295	3.321	3.172	
3.247	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.461	3.320	3.295	3.321	3.172	
3.251	3.320	3.295	3.321	3.172	
3.391	3.320	3.295	3.321	3.172	
3.217	3.320	3.295	3.321	3.172	
3.374	3.320	3.295	3.321	3.172	
3.453	3.320	3.295	3.321	3.172	
3.247	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.461	3.320	3.295	3.321	3.172	
3.251	3.320	3.295	3.321	3.172	
3.391	3.320	3.295	3.321	3.172	
3.217	3.320	3.295	3.321	3.172	
3.374	3.320	3.295	3.321	3.172	
3.208	3.320	3.295	3.321	3.172	
3.370	3.320	3.295	3.321	3.172	
3.451	3.320	3.295	3.321	3.172	
3.246	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.215	3.320	3.295	3.321	3.172	
3.373	3.320	3.295	3.321	3.172	
3.208	3.320	3.295	3.321	3.172	
3.370	3.320	3.295	3.321	3.172	
3.206	3.320	3.295	3.321	3.172	
3.369	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.450	3.320	3.295	3.321	3.172	
3.246	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.215	3.320	3.295	3.321	3.172	
3.373	3.320	3.295	3.321	3.172	
3.208	3.320	3.295	3.321	3.172	
3.370	3.320	3.295	3.321	3.172	
3.206	3.320	3.295	3.321	3.172	
3.369	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.205	3.320	3.295	3.321	3.172	
3.368	3.320	3.295	3.321	3.172	
3.450	3.320	3.295	3.321	3.172	
3.246	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.215	3.320	3.295	3.321	3.172	
3.373	3.320	3.295	3.321	3.172	
3.453	3.320	3.295	3.321	3.172	
3.247	3.320	3.295	3.321	3.172	
3.389	3.320	3.295	3.321	3.172	
3.216	3.320	3.295	3.321	3.172	
3.374	3.320	3.295	3.321	3.172	
3.208	3.320	3.295	3.321	3.172	
3.370	3.320	3.295	3.321	3.172	
3.206	3.320	3.295	3.321	3.172	
