Server_0D	Server_0	Server_01	Server_0E	Server_0A	
3.322	3.568	3.293	3.314	3.322	
3.322	3.305	3.293	3.314	3.322	
3.182	3.305	3.293	3.314	3.322	
3.602	3.305	3.293	3.314	3.322	
3.567	3.305	3.293	3.314	3.322	
3.304	3.305	3.293	3.314	3.322	
3.663	3.305	3.293	3.314	3.322	
3.597	3.305	3.293	3.314	3.322	
3.319	3.305	3.293	3.314	3.322	
3.319	3.305	3.293	3.314	3.182	
3.319	3.305	3.293	3.314	3.602	
3.319	3.305	3.293	3.314	3.322	
3.319	3.305	3.293	3.314	3.427	
3.319	3.305	3.293	3.314	3.724	
3.319	3.305	3.293	3.314	3.628	
3.319	3.305	3.293	3.314	3.580	
3.319	3.305	3.293	3.314	3.311	
3.319	3.305	3.293	3.314	3.666	
3.319	3.305	3.293	3.314	3.599	
3.319	3.305	3.293	3.314	3.320	
3.319	3.305	3.293	3.314	3.426	
3.319	3.305	3.293	3.314	3.479	
3.319	3.305	3.293	3.314	3.505	
3.319	3.305	3.293	3.314	3.518	
3.319	3.305	3.293	3.314	3.525	
3.319	3.305	3.293	3.314	3.283	
3.319	3.305	3.293	3.314	3.652	
3.319	3.305	3.293	3.314	3.347	
3.319	3.305	3.293	3.314	3.194	
3.319	3.305	3.293	3.314	3.608	
3.319	3.305	3.293	3.314	3.570	
3.319	3.305	3.293	3.314	3.306	
3.319	3.305	3.293	3.314	3.663	
3.319	3.305	3.293	3.314	3.598	
3.319	3.305	3.293	3.314	3.320	
3.319	3.305	3.293	3.314	3.426	
3.319	3.305	3.293	3.314	3.723	
3.319	3.305	3.293	3.314	3.627	
3.319	3.305	3.293	3.314	3.580	
3.319	3.305	3.293	3.314	3.556	
3.319	3.305	3.293	3.314	3.544	
3.319	3.305	3.293	3.314	3.538	
3.319	3.305	3.293	3.314	3.535	
3.319	3.305	3.293	3.314	3.533	
3.319	3.305	3.293	3.314	3.287	
3.319	3.305	3.293	3.314	3.410	
3.319	3.305	3.293	3.314	3.226	
3.319	3.305	3.293	3.314	3.623	
3.319	3.305	3.293	3.314	3.333	
3.319	3.305	3.293	3.314	3.432	
3.319	3.305	3.293	3.314	3.727	
3.319	3.305	3.293	3.314	3.384	
3.319	3.305	3.293	3.314	3.213	
3.319	3.305	3.293	3.314	3.617	
3.319	3.305	3.293	3.314	3.574	
3.319	3.305	3.293	3.314	3.553	
3.319	3.305	3.293	3.314	3.542	
3.319	3.305	3.293	3.314	3.537	
3.319	3.305	3.293	3.314	3.534	
3.319	3.305	3.293	3.314	3.533	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.287	
3.319	3.305	3.293	3.314	3.654	
3.319	3.305	3.293	3.314	3.593	
3.319	3.305	3.293	3.314	3.562	
3.319	3.305	3.293	3.314	3.547	
3.319	3.305	3.293	3.314	3.539	
3.319	3.305	3.293	3.314	3.535	
3.319	3.305	3.293	3.314	3.534	
3.319	3.305	3.293	3.314	3.533	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.776	
3.319	3.305	3.293	3.314	3.654	
3.319	3.305	3.293	3.314	3.593	
3.319	3.305	3.293	3.314	3.562	
3.319	3.305	3.293	3.314	3.547	
3.319	3.305	3.293	3.314	3.539	
3.319	3.305	3.293	3.314	3.535	
3.319	3.305	3.293	3.314	3.534	
3.319	3.305	3.293	3.314	3.533	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.532	
3.319	3.305	3.293	3.314	3.287	
3.181	3.305	3.293	3.314	3.287	
3.356	3.305	3.293	3.314	3.287	
3.689	3.305	3.293	3.314	3.287	
3.610	3.305	3.293	3.314	3.287	
3.571	3.305	3.293	3.314	3.287	
3.551	3.305	3.293	3.314	3.287	
3.786	3.305	3.293	3.314	3.287	
3.659	3.305	3.293	3.314	3.287	
3.595	3.305	3.293	3.314	3.287	
3.319	3.305	3.293	3.314	3.287	
3.425	3.305	3.293	3.314	3.287	
3.478	3.305	3.293	3.314	3.287	
3.505	3.305	3.293	3.314	3.287	
3.518	3.305	3.293	3.314	3.287	
3.525	3.305	3.293	3.314	3.287	
3.283	3.305	3.293	3.314	3.287	
3.652	3.305	3.293	3.314	3.287	
3.592	3.305	3.293	3.314	3.287	
3.562	3.305	3.293	3.314	3.287	
3.547	3.305	3.293	3.314	3.287	
3.539	3.305	3.293	3.314	3.287	
3.780	3.305	3.293	3.314	3.287	
3.656	3.305	3.293	3.314	3.287	
3.594	3.305	3.293	3.314	3.287	
3.563	3.305	3.293	3.314	3.287	
3.547	3.305	3.293	3.314	3.287	
3.539	3.305	3.293	3.314	3.287	
3.535	3.305	3.293	3.314	3.287	
3.534	3.305	3.293	3.314	3.287	
3.288	3.305	3.293	3.314	3.287	
3.654	3.305	3.293	3.314	3.287	
3.593	3.305	3.293	3.314	3.287	
3.562	3.305	3.293	3.314	3.287	
3.302	3.305	3.293	3.314	3.287	
3.417	3.305	3.293	3.314	3.287	
3.474	3.305	3.293	3.314	3.287	
3.503	3.305	3.293	3.314	3.287	
3.272	3.305	3.293	3.314	3.287	
3.402	3.305	3.293	3.314	3.287	
3.712	3.305	3.293	3.314	3.287	
3.377	3.305	3.293	3.314	3.287	
3.454	3.305	3.293	3.314	3.287	
3.493	3.305	3.293	3.314	3.287	
3.512	3.305	3.293	3.314	3.287	
3.277	3.305	3.293	3.314	3.287	
3.404	3.305	3.293	3.314	3.287	
3.468	3.305	3.293	3.314	3.287	
3.500	3.305	3.293	3.314	3.287	
3.516	3.305	3.293	3.314	3.287	
3.524	3.305	3.293	3.314	3.287	
3.283	3.305	3.293	3.314	3.287	
3.407	3.305	3.293	3.314	3.287	
3.469	3.305	3.293	3.314	3.287	
3.500	3.305	3.293	3.314	3.287	
3.271	3.305	3.293	3.314	3.287	
3.401	3.305	3.293	3.314	3.287	
3.466	3.305	3.293	3.314	3.287	
3.499	3.305	3.293	3.314	3.287	
3.270	3.305	3.293	3.314	3.287	
3.401	3.305	3.293	3.314	3.287	
3.466	3.305	3.293	3.314	3.287	
3.254	3.305	3.293	3.314	3.287	
3.393	3.305	3.293	3.314	3.287	
