Server_0D	Server_0	Server_0E	Server_0B	Server_03	
3.319	3.433	3.460	3.023	3.128	
3.319	3.482	3.460	3.023	3.128	
3.319	3.507	3.460	3.023	3.128	
3.319	3.274	3.460	3.023	3.128	
3.319	3.648	3.460	3.023	3.128	
3.319	3.590	3.460	3.023	3.128	
3.319	3.561	3.460	3.023	3.128	
3.319	3.301	3.460	3.023	3.128	
3.319	3.416	3.460	3.023	3.128	
3.319	3.719	3.460	3.023	3.128	
3.319	3.625	3.460	3.023	3.128	
3.319	3.578	3.460	3.023	3.128	
3.319	3.555	3.460	3.023	3.128	
3.319	3.543	3.460	3.023	3.128	
3.319	3.293	3.460	3.023	3.128	
3.319	3.657	3.460	3.023	3.128	
3.319	3.594	3.460	3.023	3.128	
3.319	3.563	3.460	3.023	3.128	
3.319	3.302	3.460	3.023	3.128	
3.319	3.662	3.460	3.023	3.128	
3.319	3.597	3.460	3.023	3.128	
3.319	3.564	3.460	3.023	3.128	
3.319	3.548	3.460	3.023	3.128	
3.319	3.540	3.460	3.023	3.128	
3.319	3.291	3.460	3.023	3.128	
3.319	3.411	3.460	3.023	3.128	
3.319	3.471	3.460	3.023	3.128	
3.319	3.501	3.460	3.023	3.128	
3.319	3.272	3.460	3.023	3.128	
3.319	3.402	3.460	3.023	3.128	
3.319	3.711	3.460	3.023	3.128	
3.319	3.377	3.460	3.023	3.128	
3.319	3.454	3.460	3.023	3.128	
3.319	3.493	3.460	3.023	3.128	
3.319	3.512	3.460	3.023	3.128	
3.319	3.522	3.460	3.023	3.128	
3.319	3.282	3.460	3.023	3.128	
3.319	3.407	3.460	3.023	3.128	
3.319	3.469	3.460	3.023	3.128	
3.319	3.500	3.460	3.023	3.128	
3.319	3.516	3.460	3.023	3.128	
3.319	3.524	3.460	3.023	3.128	
3.319	3.528	3.460	3.023	3.128	
3.319	3.530	3.460	3.023	3.128	
3.319	3.286	3.460	3.023	3.128	
3.319	3.409	3.460	3.023	3.128	
3.319	3.470	3.460	3.023	3.128	
3.319	3.501	3.460	3.023	3.128	
3.319	3.516	3.460	3.023	3.128	
3.319	3.524	3.460	3.023	3.128	
3.319	3.283	3.460	3.023	3.128	
3.319	3.407	3.460	3.023	3.128	
3.319	3.469	3.460	3.023	3.128	
3.319	3.501	3.460	3.023	3.128	
3.319	3.271	3.460	3.023	3.128	
3.319	3.401	3.460	3.023	3.128	
3.319	3.466	3.460	3.023	3.128	
3.319	3.254	3.460	3.023	3.128	
3.319	3.393	3.460	3.023	3.128	
3.319	3.462	3.460	3.023	3.128	
3.319	3.497	3.460	3.023	3.128	
3.319	3.269	3.460	3.023	3.128	
3.319	3.400	3.460	3.023	3.128	
3.319	3.466	3.460	3.023	3.128	
3.319	3.499	3.460	3.023	3.128	
3.319	3.270	3.460	3.023	3.128	
3.319	3.401	3.460	3.023	3.128	
3.319	3.466	3.460	3.023	3.128	
3.319	3.254	3.460	3.023	3.128	
3.319	3.393	3.460	3.023	3.128	
3.319	3.462	3.460	3.023	3.128	
3.319	3.497	3.460	3.023	3.128	
3.319	3.269	3.460	3.023	3.128	
3.319	3.400	3.460	3.023	3.128	
3.319	3.466	3.460	3.023	3.128	
3.319	3.254	3.460	3.023	3.128	
3.319	3.393	3.460	3.023	3.128	
3.319	3.462	3.460	3.023	3.128	
3.319	3.497	3.460	3.023	3.128	
3.319	3.269	3.460	3.023	3.128	
3.319	3.400	3.460	3.023	3.128	
3.319	3.466	3.460	3.023	3.128	
3.319	3.254	3.460	3.023	3.128	
3.319	3.393	3.460	3.023	3.128	
3.319	3.462	3.460	3.023	3.128	
3.319	3.252	3.460	3.023	3.128	
3.319	3.392	3.460	3.023	3.128	
3.319	3.462	3.460	3.023	3.128	
3.319	3.252	3.460	3.023	3.128	
3.319	3.392	3.460	3.023	3.128	
3.319	3.462	3.460	3.023	3.128	
3.319	3.252	3.460	3.023	3.128	
3.319	3.392	3.460	3.023	3.128	
3.319	3.392	3.251	3.023	3.128	
3.319	3.392	3.391	3.023	3.128	
3.319	3.392	3.706	3.023	3.128	
3.319	3.392	3.619	3.023	3.128	
3.319	3.392	3.575	3.023	3.128	
3.319	3.392	3.309	3.023	3.128	
3.319	3.392	3.665	3.023	3.128	
3.319	3.392	3.598	3.023	3.128	
3.319	3.392	3.565	3.023	3.128	
3.319	3.392	3.548	3.023	3.128	
3.319	3.392	3.295	3.023	3.128	
3.319	3.392	3.413	3.023	3.128	
3.319	3.392	3.472	3.023	3.128	
3.319	3.392	3.257	3.023	3.128	
3.319	3.392	3.639	3.023	3.128	
3.319	3.392	3.340	3.023	3.128	
3.319	3.392	3.681	3.023	3.128	
3.319	3.392	3.606	3.023	3.128	
3.319	3.392	3.569	3.023	3.128	
3.319	3.392	3.550	3.023	3.128	
3.319	3.392	3.541	3.023	3.128	
3.319	3.392	3.536	3.023	3.128	
3.319	3.392	3.289	3.023	3.128	
3.319	3.392	3.655	3.023	3.128	
3.319	3.392	3.348	3.023	3.128	
3.319	3.217	3.348	3.023	3.128	
3.319	3.374	3.348	3.023	3.128	
3.319	3.208	3.348	3.023	3.128	
3.319	3.370	3.348	3.023	3.128	
3.319	3.206	3.348	3.023	3.128	
3.319	3.369	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
3.319	3.368	3.348	3.023	3.128	
3.319	3.205	3.348	3.023	3.128	
