Server_0B	Server_0	Server_05	Server_04	Server_0E	
3.333	3.301	3.439	3.303	3.126	
3.333	3.661	3.439	3.303	3.126	
3.333	3.352	3.439	3.303	3.126	
3.333	3.442	3.439	3.303	3.126	
3.333	3.731	3.439	3.303	3.126	
3.333	3.387	3.439	3.303	3.126	
3.333	3.387	3.240	3.303	3.126	
3.333	3.387	3.386	3.303	3.126	
3.333	3.387	3.459	3.303	3.126	
3.333	3.387	3.740	3.303	3.126	
3.333	3.387	3.636	3.303	3.126	
3.333	3.387	3.584	3.303	3.126	
3.333	3.387	3.313	3.303	3.126	
3.333	3.387	3.667	3.303	3.126	
3.333	3.387	3.599	3.303	3.126	
3.333	3.387	3.321	3.303	3.126	
3.333	3.387	3.671	3.303	3.126	
3.333	3.387	3.601	3.303	3.126	
3.333	3.387	3.322	3.303	3.126	
3.333	3.387	3.427	3.303	3.126	
3.333	3.387	3.479	3.303	3.126	
3.333	3.387	3.260	3.303	3.126	
3.333	3.387	3.396	3.303	3.126	
3.333	3.387	3.709	3.303	3.126	
3.333	3.387	3.620	3.303	3.126	
3.333	3.387	3.576	3.303	3.126	
3.333	3.387	3.309	3.303	3.126	
3.333	3.387	3.420	3.303	3.126	
3.333	3.387	3.721	3.303	3.126	
3.333	3.387	3.381	3.303	3.126	
3.333	3.214	3.381	3.303	3.126	
3.333	3.618	3.381	3.303	3.126	
3.333	3.330	3.381	3.303	3.126	
3.333	3.431	3.381	3.303	3.126	
3.333	3.726	3.381	3.303	3.126	
3.333	3.629	3.381	3.303	3.126	
3.333	3.335	3.381	3.303	3.126	
3.333	3.433	3.381	3.303	3.126	
3.333	3.238	3.381	3.303	3.126	
3.333	3.629	3.381	3.303	3.126	
3.333	3.580	3.381	3.303	3.126	
3.333	3.311	3.381	3.303	3.126	
3.333	3.666	3.381	3.303	3.126	
3.333	3.599	3.381	3.303	3.126	
3.333	3.565	3.381	3.303	3.126	
3.333	3.304	3.381	3.303	3.126	
3.333	3.418	3.381	3.303	3.126	
3.333	3.719	3.381	3.303	3.126	
3.333	3.625	3.381	3.303	3.126	
3.333	3.334	3.381	3.303	3.126	
3.333	3.433	3.381	3.303	3.126	
3.333	3.727	3.381	3.303	3.126	
3.333	3.629	3.381	3.303	3.126	
3.333	3.336	3.381	3.303	3.126	
3.333	3.336	3.212	3.303	3.126	
3.333	3.336	3.372	3.303	3.126	
3.333	3.336	3.452	3.303	3.126	
3.333	3.336	3.736	3.303	3.126	
3.333	3.336	3.634	3.303	3.126	
3.333	3.336	3.828	3.303	3.126	
3.333	3.336	3.680	3.303	3.126	
3.333	3.336	3.606	3.303	3.126	
3.333	3.336	3.569	3.303	3.126	
3.333	3.336	3.550	3.303	3.126	
3.333	3.336	3.541	3.303	3.126	
3.333	3.336	3.291	3.303	3.126	
3.333	3.336	3.656	3.303	3.126	
3.333	3.336	3.594	3.303	3.126	
3.333	3.336	3.563	3.303	3.126	
3.333	3.336	3.547	3.303	3.126	
3.333	3.336	3.539	3.303	3.126	
3.333	3.336	3.535	3.303	3.126	
3.333	3.336	3.534	3.303	3.126	
3.333	3.336	3.533	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.777	3.303	3.126	
3.333	3.336	3.654	3.303	3.126	
3.333	3.336	3.593	3.303	3.126	
3.333	3.336	3.562	3.303	3.126	
3.333	3.336	3.547	3.303	3.126	
3.333	3.336	3.294	3.303	3.126	
3.333	3.336	3.413	3.303	3.126	
3.333	3.336	3.472	3.303	3.126	
3.333	3.336	3.502	3.303	3.126	
3.333	3.336	3.272	3.303	3.126	
3.333	3.336	3.647	3.303	3.126	
3.333	3.336	3.589	3.303	3.126	
3.333	3.336	3.560	3.303	3.126	
3.333	3.336	3.546	3.303	3.126	
3.333	3.336	3.294	3.303	3.126	
3.333	3.336	3.413	3.303	3.126	
3.333	3.336	3.472	3.303	3.126	
3.333	3.336	3.747	3.303	3.126	
3.333	3.336	3.639	3.303	3.126	
3.333	3.336	3.340	3.303	3.126	
3.333	3.336	3.681	3.303	3.126	
3.333	3.336	3.606	3.303	3.126	
3.333	3.336	3.569	3.303	3.126	
3.333	3.336	3.550	3.303	3.126	
3.333	3.336	3.541	3.303	3.126	
3.333	3.336	3.536	3.303	3.126	
3.333	3.336	3.534	3.303	3.126	
3.333	3.336	3.533	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.287	3.303	3.126	
3.333	3.336	3.654	3.303	3.126	
3.333	3.336	3.593	3.303	3.126	
3.333	3.336	3.562	3.303	3.126	
3.333	3.336	3.547	3.303	3.126	
3.333	3.336	3.539	3.303	3.126	
3.333	3.336	3.535	3.303	3.126	
3.333	3.336	3.534	3.303	3.126	
3.333	3.336	3.533	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.287	3.303	3.126	
3.333	3.336	3.654	3.303	3.126	
3.333	3.336	3.593	3.303	3.126	
3.333	3.336	3.562	3.303	3.126	
3.333	3.336	3.547	3.303	3.126	
3.333	3.336	3.294	3.303	3.126	
3.333	3.336	3.413	3.303	3.126	
3.333	3.336	3.472	3.303	3.126	
3.333	3.336	3.502	3.303	3.126	
3.333	3.336	3.272	3.303	3.126	
3.333	3.336	3.647	3.303	3.126	
3.333	3.336	3.589	3.303	3.126	
3.333	3.336	3.560	3.303	3.126	
3.333	3.336	3.546	3.303	3.126	
3.333	3.336	3.539	3.303	3.126	
3.333	3.336	3.535	3.303	3.126	
3.333	3.336	3.533	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.532	3.303	3.126	
3.333	3.336	3.287	3.303	3.126	
3.333	3.336	3.654	3.303	3.126	
3.333	3.336	3.593	3.303	3.126	
3.333	3.336	3.562	3.303	3.126	
3.333	3.336	3.547	3.303	3.126	
3.333	3.336	3.784	3.303	3.126	
3.333	3.336	3.658	3.303	3.126	
3.333	3.336	3.595	3.303	3.126	
3.333	3.336	3.563	3.303	3.126	
3.333	3.336	3.547	3.303	3.126	
3.333	3.336	3.295	3.303	3.126	
3.333	3.336	3.413	3.303	3.126	
3.333	3.336	3.472	3.303	3.126	
3.333	3.336	3.257	3.303	3.126	
3.333	3.336	3.394	3.303	3.126	
3.333	3.336	3.708	3.303	3.126	
3.333	3.336	3.620	3.303	3.126	
3.333	3.336	3.820	3.303	3.126	
3.333	3.336	3.676	3.303	3.126	
3.333	3.336	3.604	3.303	3.126	
3.333	3.336	3.323	3.303	3.126	
3.333	3.189	3.323	3.303	3.126	
3.333	3.360	3.323	3.303	3.126	
3.333	3.201	3.323	3.303	3.126	
3.333	3.366	3.323	3.303	3.126	
3.333	3.204	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
3.333	3.205	3.323	3.303	3.126	
3.333	3.368	3.323	3.303	3.126	
