Server_0E	Server_0	Server_0C	Server_0B	Server_0F	
3.287	3.301	3.313	3.246	3.590	
3.287	3.301	3.313	3.246	3.316	
3.287	3.301	3.313	3.246	3.668	
3.287	3.301	3.313	3.246	3.600	
3.287	3.301	3.313	3.246	3.321	
3.287	3.301	3.313	3.246	3.181	
3.287	3.301	3.313	3.246	3.601	
3.287	3.301	3.313	3.246	3.566	
3.287	3.301	3.313	3.246	3.549	
3.287	3.301	3.313	3.246	3.540	
3.287	3.301	3.313	3.246	3.536	
3.287	3.301	3.313	3.246	3.534	
3.287	3.301	3.313	3.246	3.533	
3.287	3.301	3.313	3.246	3.287	
3.287	3.301	3.313	3.246	3.409	
3.287	3.301	3.313	3.246	3.471	
3.287	3.301	3.313	3.246	3.501	
3.287	3.301	3.313	3.246	3.516	
3.287	3.301	3.313	3.246	3.279	
3.287	3.301	3.313	3.246	3.405	
3.287	3.301	3.313	3.246	3.224	
3.287	3.301	3.313	3.246	3.378	
3.287	3.301	3.313	3.246	3.455	
3.287	3.301	3.313	3.246	3.248	
3.287	3.301	3.313	3.246	3.390	
3.287	3.301	3.313	3.246	3.461	
3.287	3.301	3.313	3.246	3.251	
3.287	3.301	3.313	3.246	3.391	
3.287	3.301	3.313	3.246	3.462	
3.287	3.301	3.313	3.246	3.252	
3.287	3.301	3.313	3.246	3.392	
3.287	3.301	3.313	3.246	3.217	
3.287	3.301	3.313	3.246	3.374	
3.287	3.301	3.313	3.246	3.453	
3.287	3.301	3.313	3.246	3.492	
3.287	3.301	3.313	3.246	3.267	
3.287	3.301	3.313	3.246	3.399	
3.287	3.301	3.313	3.246	3.221	
3.287	3.301	3.313	3.246	3.376	
3.287	3.301	3.313	3.246	3.454	
3.287	3.301	3.313	3.246	3.248	
3.287	3.301	3.313	3.246	3.390	
3.287	3.301	3.313	3.246	3.216	
3.287	3.301	3.313	3.246	3.374	
3.287	3.301	3.313	3.246	3.208	
3.287	3.301	3.313	3.246	3.370	
3.287	3.301	3.313	3.246	3.206	
3.287	3.301	3.313	3.246	3.369	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.450	
3.287	3.301	3.313	3.246	3.246	
3.287	3.301	3.313	3.246	3.389	
3.287	3.301	3.313	3.246	3.215	
3.287	3.301	3.313	3.246	3.373	
3.287	3.301	3.313	3.246	3.208	
3.287	3.301	3.313	3.246	3.370	
3.287	3.301	3.313	3.246	3.206	
3.287	3.301	3.313	3.246	3.369	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.450	
3.287	3.301	3.313	3.246	3.246	
3.287	3.301	3.313	3.246	3.389	
3.287	3.301	3.313	3.246	3.215	
3.287	3.301	3.313	3.246	3.373	
3.287	3.301	3.313	3.246	3.208	
3.287	3.301	3.313	3.246	3.370	
3.287	3.301	3.313	3.246	3.206	
3.287	3.301	3.313	3.246	3.369	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.450	
3.287	3.301	3.313	3.246	3.246	
3.287	3.301	3.313	3.246	3.389	
3.287	3.301	3.313	3.246	3.215	
3.287	3.301	3.313	3.246	3.373	
3.287	3.301	3.313	3.246	3.208	
3.287	3.301	3.313	3.246	3.370	
3.287	3.301	3.313	3.246	3.206	
3.287	3.301	3.313	3.246	3.369	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.205	
3.287	3.301	3.313	3.246	3.368	
3.287	3.301	3.313	3.246	3.450	
3.287	3.301	3.313	3.246	3.246	
3.287	3.301	3.313	3.246	3.389	
3.287	3.301	3.313	3.246	3.215	
3.287	3.301	3.313	3.246	3.373	
3.287	3.301	3.313	3.246	3.208	
3.287	3.301	3.313	3.246	3.370	
3.287	3.301	3.313	3.246	3.451	
3.287	3.301	3.313	3.246	3.246	
3.287	3.301	3.313	3.246	3.389	
3.287	3.301	3.313	3.246	3.215	
3.287	3.301	3.313	3.246	3.373	
3.287	3.301	3.313	3.246	3.208	
3.287	3.301	3.313	3.246	3.370	
3.287	3.301	3.313	3.246	3.206	
3.287	3.301	3.313	3.246	3.369	
