Server_0E	Server_0	Server_0F	Server_0C	Server_02	
3.300	3.284	3.302	3.389	3.302	
3.300	3.408	3.302	3.389	3.302	
3.300	3.470	3.302	3.389	3.302	
3.300	3.501	3.302	3.389	3.302	
3.300	3.516	3.302	3.389	3.302	
3.300	3.524	3.302	3.389	3.302	
3.300	3.528	3.302	3.389	3.302	
3.300	3.285	3.302	3.389	3.302	
3.300	3.408	3.302	3.389	3.302	
3.300	3.470	3.302	3.389	3.302	
3.300	3.501	3.302	3.389	3.302	
3.300	3.271	3.302	3.389	3.302	
3.300	3.401	3.302	3.389	3.302	
3.300	3.467	3.302	3.389	3.302	
3.300	3.499	3.302	3.389	3.302	
3.300	3.270	3.302	3.389	3.302	
3.300	3.401	3.302	3.389	3.302	
3.300	3.466	3.302	3.389	3.302	
3.300	3.499	3.302	3.389	3.302	
3.300	3.270	3.302	3.389	3.302	
3.300	3.401	3.302	3.389	3.302	
3.300	3.466	3.302	3.389	3.302	
3.300	3.254	3.302	3.389	3.302	
3.300	3.393	3.302	3.389	3.302	
3.300	3.462	3.302	3.389	3.302	
3.300	3.497	3.302	3.389	3.302	
3.300	3.269	3.302	3.389	3.302	
3.300	3.400	3.302	3.389	3.302	
3.300	3.466	3.302	3.389	3.302	
3.300	3.254	3.302	3.389	3.302	
3.300	3.393	3.302	3.389	3.302	
3.300	3.462	3.302	3.389	3.302	
3.300	3.497	3.302	3.389	3.302	
3.300	3.269	3.302	3.389	3.302	
3.300	3.400	3.302	3.389	3.302	
3.300	3.466	3.302	3.389	3.302	
3.300	3.254	3.302	3.389	3.302	
3.300	3.393	3.302	3.389	3.302	
3.300	3.462	3.302	3.389	3.302	
3.300	3.497	3.302	3.389	3.302	
3.300	3.269	3.302	3.389	3.302	
3.300	3.400	3.302	3.389	3.302	
3.300	3.466	3.302	3.389	3.302	
3.300	3.254	3.302	3.389	3.302	
3.300	3.393	3.302	3.389	3.302	
3.300	3.462	3.302	3.389	3.302	
3.300	3.252	3.302	3.389	3.302	
3.300	3.392	3.302	3.389	3.302	
3.300	3.462	3.302	3.389	3.302	
3.300	3.252	3.302	3.389	3.302	
3.300	3.392	3.302	3.389	3.302	
3.300	3.217	3.302	3.389	3.302	
3.300	3.374	3.302	3.389	3.302	
3.300	3.453	3.302	3.389	3.302	
3.300	3.247	3.302	3.389	3.302	
3.300	3.389	3.302	3.389	3.302	
3.300	3.216	3.302	3.389	3.302	
3.300	3.374	3.302	3.389	3.302	
3.300	3.374	3.302	3.216	3.302	
3.300	3.374	3.302	3.374	3.302	
3.300	3.374	3.302	3.453	3.302	
3.300	3.374	3.302	3.247	3.302	
3.300	3.374	3.302	3.389	3.302	
3.300	3.374	3.302	3.216	3.302	
3.300	3.374	3.302	3.374	3.302	
3.300	3.208	3.302	3.374	3.302	
3.300	3.370	3.302	3.374	3.302	
3.300	3.370	3.302	3.208	3.302	
3.300	3.370	3.302	3.370	3.302	
3.300	3.206	3.302	3.370	3.302	
3.300	3.369	3.302	3.370	3.302	
3.300	3.369	3.302	3.206	3.302	
3.300	3.369	3.302	3.369	3.302	
3.300	3.205	3.302	3.369	3.302	
3.300	3.368	3.302	3.369	3.302	
3.300	3.368	3.302	3.205	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.205	3.302	3.368	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.368	3.302	3.205	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.205	3.302	3.368	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.368	3.302	3.205	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.205	3.302	3.368	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.368	3.302	3.205	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.205	3.302	3.368	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.368	3.302	3.205	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.205	3.302	3.368	3.302	
3.300	3.368	3.302	3.368	3.302	
3.300	3.450	3.302	3.368	3.302	
3.300	3.246	3.302	3.368	3.302	
3.300	3.389	3.302	3.368	3.302	
3.300	3.215	3.302	3.368	3.302	
3.300	3.373	3.302	3.368	3.302	
3.300	3.208	3.302	3.368	3.302	
3.300	3.370	3.302	3.368	3.302	
3.300	3.206	3.302	3.368	3.302	
3.300	3.369	3.302	3.368	3.302	
3.300	3.205	3.302	3.368	3.302	
3.300	3.368	3.302	3.368	3.302	
