Server_0D	Server_0	Server_0E	Server_0B	Server_02	
3.594	3.302	3.297	3.368	3.006	
3.318	3.302	3.297	3.368	3.006	
3.670	3.302	3.297	3.368	3.006	
3.601	3.302	3.297	3.368	3.006	
3.321	3.302	3.297	3.368	3.006	
3.321	3.302	3.297	3.205	3.006	
3.321	3.302	3.297	3.613	3.006	
3.321	3.302	3.297	3.572	3.006	
3.321	3.302	3.297	3.797	3.006	
3.321	3.302	3.297	3.664	3.006	
3.321	3.302	3.297	3.598	3.006	
3.321	3.302	3.297	3.565	3.006	
3.321	3.302	3.297	3.548	3.006	
3.321	3.302	3.297	3.295	3.006	
3.321	3.302	3.297	3.413	3.006	
3.321	3.302	3.297	3.717	3.006	
3.321	3.302	3.297	3.624	3.006	
3.321	3.302	3.297	3.333	3.006	
3.321	3.302	3.297	3.432	3.006	
3.321	3.302	3.297	3.482	3.006	
3.321	3.302	3.297	3.507	3.006	
3.321	3.302	3.297	3.274	3.006	
3.321	3.302	3.297	3.648	3.006	
3.321	3.302	3.297	3.590	3.006	
3.321	3.302	3.297	3.316	3.006	
3.321	3.302	3.297	3.424	3.006	
3.321	3.302	3.297	3.722	3.006	
3.321	3.302	3.297	3.627	3.006	
3.321	3.302	3.297	3.579	3.006	
3.321	3.302	3.297	3.555	3.006	
3.321	3.302	3.297	3.544	3.006	
3.321	3.302	3.297	3.293	3.006	
3.321	3.302	3.297	3.657	3.006	
3.321	3.302	3.297	3.594	3.006	
3.321	3.302	3.297	3.318	3.006	
3.321	3.302	3.297	3.670	3.006	
3.321	3.302	3.297	3.601	3.006	
3.321	3.302	3.297	3.566	3.006	
3.321	3.302	3.297	3.549	3.006	
3.321	3.302	3.297	3.540	3.006	
3.321	3.302	3.297	3.536	3.006	
3.321	3.302	3.297	3.534	3.006	
3.321	3.302	3.297	3.288	3.006	
3.321	3.302	3.297	3.410	3.006	
3.321	3.302	3.297	3.715	3.006	
3.321	3.302	3.297	3.624	3.006	
3.321	3.302	3.297	3.578	3.006	
3.321	3.302	3.297	3.310	3.006	
3.321	3.302	3.297	3.665	3.006	
3.321	3.302	3.297	3.599	3.006	
3.321	3.302	3.297	3.565	3.006	
3.321	3.302	3.297	3.548	3.006	
3.321	3.302	3.297	3.540	3.006	
3.321	3.302	3.297	3.291	3.006	
3.321	3.302	3.297	3.411	3.006	
3.321	3.302	3.297	3.471	3.006	
3.321	3.302	3.297	3.502	3.006	
3.321	3.302	3.297	3.517	3.006	
3.321	3.302	3.297	3.279	3.006	
3.321	3.302	3.297	3.650	3.006	
3.321	3.302	3.297	3.591	3.006	
3.321	3.302	3.297	3.561	3.006	
3.321	3.302	3.297	3.546	3.006	
3.321	3.302	3.297	3.294	3.006	
3.321	3.302	3.297	3.413	3.006	
3.321	3.302	3.297	3.717	3.006	
3.321	3.302	3.297	3.624	3.006	
3.321	3.302	3.297	3.578	3.006	
3.321	3.302	3.297	3.555	3.006	
3.321	3.302	3.297	3.298	3.006	
3.321	3.302	3.297	3.660	3.006	
3.321	3.302	3.297	3.596	3.006	
3.321	3.302	3.297	3.564	3.006	
3.321	3.302	3.297	3.548	3.006	
3.321	3.302	3.297	3.540	3.006	
3.321	3.302	3.297	3.536	3.006	
3.321	3.302	3.297	3.778	3.006	
3.321	3.302	3.297	3.655	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.562	3.006	
3.321	3.302	3.297	3.547	3.006	
3.321	3.302	3.297	3.539	3.006	
3.321	3.302	3.297	3.535	3.006	
3.321	3.302	3.297	3.534	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.287	3.006	
3.321	3.302	3.297	3.654	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.562	3.006	
3.321	3.302	3.297	3.547	3.006	
3.321	3.302	3.297	3.294	3.006	
3.321	3.302	3.297	3.413	3.006	
3.321	3.302	3.297	3.472	3.006	
3.321	3.302	3.297	3.257	3.006	
3.321	3.302	3.297	3.394	3.006	
3.321	3.302	3.297	3.708	3.006	
3.321	3.302	3.297	3.620	3.006	
3.321	3.302	3.297	3.576	3.006	
3.321	3.302	3.297	3.554	3.006	
3.321	3.302	3.297	3.543	3.006	
3.321	3.302	3.297	3.537	3.006	
3.321	3.302	3.297	3.534	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.287	3.006	
3.321	3.302	3.297	3.654	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.562	3.006	
3.321	3.302	3.297	3.547	3.006	
3.321	3.302	3.297	3.539	3.006	
3.321	3.302	3.297	3.535	3.006	
3.321	3.302	3.297	3.534	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.777	3.006	
3.321	3.302	3.297	3.654	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.562	3.006	
3.321	3.302	3.297	3.547	3.006	
3.321	3.302	3.297	3.539	3.006	
3.321	3.302	3.297	3.535	3.006	
3.321	3.302	3.297	3.534	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.287	3.006	
3.321	3.302	3.297	3.409	3.006	
3.321	3.302	3.297	3.470	3.006	
3.321	3.302	3.297	3.501	3.006	
3.321	3.302	3.297	3.516	3.006	
3.321	3.302	3.297	3.524	3.006	
3.321	3.302	3.297	3.528	3.006	
3.321	3.302	3.297	3.530	3.006	
3.321	3.302	3.297	3.775	3.006	
3.321	3.302	3.297	3.654	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.562	3.006	
3.321	3.302	3.297	3.547	3.006	
3.321	3.302	3.297	3.539	3.006	
3.321	3.302	3.297	3.535	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.287	3.006	
3.321	3.302	3.297	3.409	3.006	
3.321	3.302	3.297	3.470	3.006	
3.321	3.302	3.297	3.746	3.006	
3.321	3.302	3.297	3.639	3.006	
3.321	3.302	3.297	3.585	3.006	
3.321	3.302	3.297	3.558	3.006	
3.321	3.302	3.297	3.545	3.006	
3.321	3.302	3.297	3.538	3.006	
3.321	3.302	3.297	3.535	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.287	3.006	
3.321	3.302	3.297	3.654	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.562	3.006	
3.321	3.302	3.297	3.547	3.006	
3.321	3.302	3.297	3.539	3.006	
3.321	3.302	3.297	3.535	3.006	
3.321	3.302	3.297	3.534	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.287	3.006	
3.321	3.302	3.297	3.654	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.562	3.006	
3.321	3.302	3.297	3.547	3.006	
3.321	3.302	3.297	3.539	3.006	
3.321	3.302	3.297	3.535	3.006	
3.321	3.302	3.297	3.289	3.006	
3.321	3.302	3.297	3.655	3.006	
3.321	3.302	3.297	3.593	3.006	
3.321	3.302	3.297	3.318	3.006	
3.321	3.302	3.297	3.669	3.006	
3.321	3.302	3.297	3.600	3.006	
3.321	3.302	3.297	3.566	3.006	
3.321	3.302	3.297	3.549	3.006	
3.321	3.302	3.297	3.540	3.006	
3.321	3.302	3.297	3.536	3.006	
3.321	3.302	3.297	3.534	3.006	
3.321	3.302	3.297	3.533	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.532	3.006	
3.321	3.302	3.297	3.287	3.006	
3.181	3.302	3.297	3.287	3.006	
3.357	3.302	3.297	3.287	3.006	
3.444	3.302	3.297	3.287	3.006	
3.488	3.302	3.297	3.287	3.006	
3.265	3.302	3.297	3.287	3.006	
3.398	3.302	3.297	3.287	3.006	
3.465	3.302	3.297	3.287	3.006	
3.498	3.302	3.297	3.287	3.006	
3.270	3.302	3.297	3.287	3.006	
3.401	3.302	3.297	3.287	3.006	
3.466	3.302	3.297	3.287	3.006	
3.499	3.302	3.297	3.287	3.006	
3.270	3.302	3.297	3.287	3.006	
