Server_09	Server_0	Server_0A	Server_0D	Server_0F	
3.310	3.288	3.320	3.537	3.256	
3.310	3.288	3.320	3.535	3.256	
3.310	3.288	3.320	3.288	3.256	
3.310	3.288	3.320	3.655	3.256	
3.310	3.288	3.320	3.593	3.256	
3.310	3.288	3.320	3.317	3.256	
3.310	3.288	3.320	3.425	3.256	
3.310	3.288	3.320	3.478	3.256	
3.310	3.288	3.320	3.260	3.256	
3.310	3.288	3.320	3.641	3.256	
3.310	3.288	3.320	3.586	3.256	
3.310	3.288	3.320	3.559	3.256	
3.310	3.288	3.320	3.545	3.256	
3.310	3.288	3.320	3.538	3.256	
3.310	3.288	3.320	3.780	3.256	
3.310	3.288	3.320	3.656	3.256	
3.310	3.288	3.320	3.594	3.256	
3.310	3.288	3.320	3.563	3.256	
3.310	3.288	3.320	3.547	3.256	
3.310	3.288	3.320	3.539	3.256	
3.310	3.288	3.320	3.535	3.256	
3.310	3.288	3.320	3.534	3.256	
3.310	3.288	3.320	3.288	3.256	
3.310	3.288	3.320	3.654	3.256	
3.310	3.288	3.320	3.593	3.256	
3.310	3.288	3.320	3.562	3.256	
3.310	3.288	3.320	3.302	3.256	
3.310	3.288	3.320	3.417	3.256	
3.310	3.288	3.320	3.474	3.256	
3.310	3.288	3.320	3.503	3.256	
3.310	3.288	3.320	3.272	3.256	
3.310	3.288	3.320	3.402	3.256	
3.310	3.288	3.320	3.712	3.256	
3.310	3.288	3.320	3.377	3.256	
3.310	3.288	3.320	3.454	3.256	
3.310	3.288	3.320	3.493	3.256	
3.310	3.288	3.320	3.512	3.256	
3.310	3.288	3.320	3.277	3.256	
3.310	3.288	3.320	3.404	3.256	
3.310	3.288	3.320	3.468	3.256	
3.310	3.288	3.320	3.500	3.256	
3.310	3.288	3.320	3.516	3.256	
3.310	3.288	3.320	3.524	3.256	
3.310	3.288	3.320	3.283	3.256	
3.310	3.288	3.320	3.407	3.256	
3.310	3.288	3.320	3.469	3.256	
3.310	3.288	3.320	3.500	3.256	
3.310	3.288	3.320	3.271	3.256	
3.310	3.288	3.320	3.401	3.256	
3.310	3.288	3.320	3.466	3.256	
3.310	3.288	3.320	3.499	3.256	
3.310	3.288	3.320	3.270	3.256	
3.310	3.288	3.320	3.401	3.256	
3.310	3.288	3.320	3.466	3.256	
3.310	3.288	3.320	3.254	3.256	
3.310	3.288	3.320	3.393	3.256	
