Server_02	Server_0	Server_0D	Server_05	Server_0F	
3.322	3.590	3.016	3.443	3.597	
3.322	3.590	3.016	3.443	3.564	
3.322	3.561	3.016	3.443	3.564	
3.322	3.561	3.016	3.443	3.303	
3.322	3.546	3.016	3.443	3.303	
3.322	3.784	3.016	3.443	3.303	
3.322	3.413	3.016	3.443	3.303	
3.322	3.472	3.016	3.443	3.303	
3.322	3.747	3.016	3.443	3.303	
3.322	3.394	3.016	3.443	3.303	
3.322	3.394	3.016	3.243	3.303	
3.322	3.394	3.016	3.387	3.303	
3.322	3.394	3.016	3.704	3.303	
3.322	3.394	3.016	3.618	3.303	
3.322	3.394	3.016	3.575	3.303	
3.322	3.394	3.016	3.553	3.303	
3.322	3.394	3.016	3.297	3.303	
3.322	3.394	3.016	3.659	3.303	
3.322	3.394	3.016	3.595	3.303	
3.322	3.394	3.016	3.319	3.303	
3.322	3.394	3.016	3.670	3.303	
3.322	3.394	3.016	3.601	3.303	
3.322	3.394	3.016	3.321	3.303	
3.322	3.394	3.016	3.426	3.303	
3.322	3.394	3.016	3.479	3.303	
3.322	3.394	3.016	3.260	3.303	
3.322	3.394	3.016	3.396	3.303	
3.322	3.394	3.016	3.709	3.303	
3.322	3.394	3.016	3.620	3.303	
3.322	3.394	3.016	3.576	3.303	
3.322	3.394	3.016	3.309	3.303	
3.322	3.394	3.016	3.420	3.303	
3.322	3.394	3.016	3.721	3.303	
3.322	3.394	3.016	3.381	3.303	
3.322	3.218	3.016	3.381	3.303	
3.322	3.620	3.016	3.381	3.303	
3.322	3.331	3.016	3.381	3.303	
3.322	3.431	3.016	3.381	3.303	
3.322	3.726	3.016	3.381	3.303	
3.322	3.629	3.016	3.381	3.303	
3.322	3.335	3.016	3.381	3.303	
3.322	3.433	3.016	3.381	3.303	
3.322	3.483	3.016	3.381	3.303	
3.322	3.752	3.016	3.381	3.303	
3.322	3.397	3.016	3.381	3.303	
3.322	3.219	3.016	3.381	3.303	
3.322	3.620	3.016	3.381	3.303	
3.322	3.576	3.016	3.381	3.303	
3.322	3.554	3.016	3.381	3.303	
3.322	3.298	3.016	3.381	3.303	
3.322	3.415	3.016	3.381	3.303	
3.322	3.718	3.016	3.381	3.303	
3.322	3.625	3.016	3.381	3.303	
3.322	3.333	3.016	3.381	3.303	
3.322	3.677	3.016	3.381	3.303	
3.322	3.604	3.016	3.381	3.303	
3.322	3.568	3.016	3.381	3.303	
3.322	3.305	3.016	3.381	3.303	
3.322	3.418	3.016	3.381	3.303	
3.322	3.720	3.016	3.381	3.303	
3.322	3.626	3.016	3.381	3.303	
3.322	3.334	3.016	3.381	3.303	
3.322	3.433	3.016	3.381	3.303	
3.322	3.482	3.016	3.381	3.303	
3.322	3.507	3.016	3.381	3.303	
3.322	3.274	3.016	3.381	3.303	
3.322	3.648	3.016	3.381	3.303	
3.322	3.590	3.016	3.381	3.303	
3.322	3.561	3.016	3.381	3.303	
3.322	3.301	3.016	3.381	3.303	
3.322	3.416	3.016	3.381	3.303	
3.322	3.719	3.016	3.381	3.303	
3.322	3.625	3.016	3.381	3.303	
3.322	3.578	3.016	3.381	3.303	
3.322	3.555	3.016	3.381	3.303	
3.322	3.543	3.016	3.381	3.303	
3.322	3.293	3.016	3.381	3.303	
3.322	3.657	3.016	3.381	3.303	
3.322	3.594	3.016	3.381	3.303	
3.322	3.563	3.016	3.381	3.303	
3.322	3.302	3.016	3.381	3.303	
3.322	3.417	3.016	3.381	3.303	
3.322	3.474	3.016	3.381	3.303	
3.322	3.503	3.016	3.381	3.303	
3.322	3.517	3.016	3.381	3.303	
3.322	3.524	3.016	3.381	3.303	
3.322	3.773	3.016	3.381	3.303	
3.322	3.407	3.016	3.381	3.303	
3.322	3.469	3.016	3.381	3.303	
3.322	3.501	3.016	3.381	3.303	
3.322	3.271	3.016	3.381	3.303	
3.322	3.401	3.016	3.381	3.303	
3.322	3.711	3.016	3.381	3.303	
3.322	3.377	3.016	3.381	3.303	
3.322	3.377	3.016	3.212	3.303	
3.322	3.377	3.016	3.616	3.303	
3.322	3.377	3.016	3.574	3.303	
3.322	3.377	3.016	3.553	3.303	
3.322	3.377	3.016	3.297	3.303	
3.322	3.377	3.016	3.659	3.303	
3.322	3.377	3.016	3.595	3.303	
3.322	3.377	3.016	3.564	3.303	
3.322	3.377	3.016	3.548	3.303	
3.322	3.377	3.016	3.540	3.303	
3.322	3.377	3.016	3.536	3.303	
3.322	3.377	3.016	3.534	3.303	
3.322	3.377	3.016	3.533	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.287	3.303	
3.322	3.377	3.016	3.654	3.303	
3.322	3.377	3.016	3.593	3.303	
3.322	3.377	3.016	3.562	3.303	
3.322	3.377	3.016	3.547	3.303	
3.322	3.377	3.016	3.539	3.303	
3.322	3.377	3.016	3.535	3.303	
3.322	3.377	3.016	3.534	3.303	
3.322	3.377	3.016	3.533	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.287	3.303	
3.322	3.377	3.016	3.654	3.303	
3.322	3.377	3.016	3.593	3.303	
3.322	3.377	3.016	3.562	3.303	
3.322	3.377	3.016	3.547	3.303	
3.322	3.377	3.016	3.294	3.303	
3.322	3.377	3.016	3.413	3.303	
3.322	3.377	3.016	3.472	3.303	
3.322	3.377	3.016	3.502	3.303	
3.322	3.377	3.016	3.272	3.303	
3.322	3.377	3.016	3.647	3.303	
3.322	3.377	3.016	3.589	3.303	
3.322	3.377	3.016	3.560	3.303	
3.322	3.377	3.016	3.546	3.303	
3.322	3.377	3.016	3.539	3.303	
3.322	3.377	3.016	3.535	3.303	
3.322	3.377	3.016	3.533	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.287	3.303	
3.322	3.377	3.016	3.654	3.303	
3.322	3.377	3.016	3.593	3.303	
3.322	3.377	3.016	3.562	3.303	
3.322	3.377	3.016	3.547	3.303	
3.322	3.377	3.016	3.784	3.303	
3.322	3.377	3.016	3.658	3.303	
3.322	3.377	3.016	3.595	3.303	
3.322	3.377	3.016	3.563	3.303	
3.322	3.377	3.016	3.547	3.303	
3.322	3.377	3.016	3.539	3.303	
3.322	3.377	3.016	3.536	3.303	
3.322	3.377	3.016	3.534	3.303	
3.322	3.377	3.016	3.288	3.303	
3.322	3.377	3.016	3.654	3.303	
3.322	3.377	3.016	3.593	3.303	
3.322	3.377	3.016	3.562	3.303	
3.322	3.377	3.016	3.547	3.303	
3.322	3.377	3.016	3.539	3.303	
3.322	3.377	3.016	3.535	3.303	
3.322	3.377	3.016	3.534	3.303	
3.322	3.377	3.016	3.533	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.777	3.303	
3.322	3.377	3.016	3.654	3.303	
3.322	3.377	3.016	3.348	3.303	
3.322	3.377	3.016	3.440	3.303	
3.322	3.377	3.016	3.486	3.303	
3.322	3.377	3.016	3.509	3.303	
3.322	3.377	3.016	3.275	3.303	
3.322	3.377	3.016	3.403	3.303	
3.322	3.377	3.016	3.712	3.303	
3.322	3.377	3.016	3.622	3.303	
3.322	3.377	3.016	3.577	3.303	
3.322	3.377	3.016	3.554	3.303	
3.322	3.377	3.016	3.543	3.303	
3.322	3.377	3.016	3.537	3.303	
3.322	3.377	3.016	3.534	3.303	
3.322	3.377	3.016	3.533	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.532	3.303	
3.322	3.377	3.016	3.287	3.303	
3.322	3.377	3.016	3.654	3.303	
