Server_0F	Server_0	Server_01	Server_0D	Server_0E	
3.369	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.450	3.318	3.320	3.328	3.298	
3.246	3.318	3.320	3.328	3.298	
3.389	3.318	3.320	3.328	3.298	
3.215	3.318	3.320	3.328	3.298	
3.373	3.318	3.320	3.328	3.298	
3.208	3.318	3.320	3.328	3.298	
3.370	3.318	3.320	3.328	3.298	
3.206	3.318	3.320	3.328	3.298	
3.369	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.450	3.318	3.320	3.328	3.298	
3.246	3.318	3.320	3.328	3.298	
3.389	3.318	3.320	3.328	3.298	
3.215	3.318	3.320	3.328	3.298	
3.373	3.318	3.320	3.328	3.298	
3.208	3.318	3.320	3.328	3.298	
3.370	3.318	3.320	3.328	3.298	
3.206	3.318	3.320	3.328	3.298	
3.369	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.450	3.318	3.320	3.328	3.298	
3.246	3.318	3.320	3.328	3.298	
3.389	3.318	3.320	3.328	3.298	
3.215	3.318	3.320	3.328	3.298	
3.373	3.318	3.320	3.328	3.298	
3.208	3.318	3.320	3.328	3.298	
3.370	3.318	3.320	3.328	3.298	
3.206	3.318	3.320	3.328	3.298	
3.369	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.450	3.318	3.320	3.328	3.298	
3.246	3.318	3.320	3.328	3.298	
3.389	3.318	3.320	3.328	3.298	
3.215	3.318	3.320	3.328	3.298	
3.373	3.318	3.320	3.328	3.298	
3.208	3.318	3.320	3.328	3.298	
3.370	3.318	3.320	3.328	3.298	
3.451	3.318	3.320	3.328	3.298	
3.246	3.318	3.320	3.328	3.298	
3.389	3.318	3.320	3.328	3.298	
3.215	3.318	3.320	3.328	3.298	
3.373	3.318	3.320	3.328	3.298	
3.208	3.318	3.320	3.328	3.298	
3.370	3.318	3.320	3.328	3.298	
3.206	3.318	3.320	3.328	3.298	
3.369	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
3.368	3.318	3.320	3.328	3.298	
3.205	3.318	3.320	3.328	3.298	
