Server_0C	Server_0	Server_0E	Server_0B	Server_08	
3.246	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.215	3.320	3.311	3.106	3.299	
3.373	3.320	3.311	3.106	3.299	
3.453	3.320	3.311	3.106	3.299	
3.247	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.216	3.320	3.311	3.106	3.299	
3.374	3.320	3.311	3.106	3.299	
3.453	3.320	3.311	3.106	3.299	
3.247	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.216	3.320	3.311	3.106	3.299	
3.374	3.320	3.311	3.106	3.299	
3.208	3.320	3.311	3.106	3.299	
3.370	3.320	3.311	3.106	3.299	
3.206	3.320	3.311	3.106	3.299	
3.369	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.450	3.320	3.311	3.106	3.299	
3.246	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.460	3.320	3.311	3.106	3.299	
3.251	3.320	3.311	3.106	3.299	
3.391	3.320	3.311	3.106	3.299	
3.461	3.320	3.311	3.106	3.299	
3.252	3.320	3.311	3.106	3.299	
3.392	3.320	3.311	3.106	3.299	
3.462	3.320	3.311	3.106	3.299	
3.252	3.320	3.311	3.106	3.299	
3.392	3.320	3.311	3.106	3.299	
3.462	3.320	3.311	3.106	3.299	
3.252	3.320	3.311	3.106	3.299	
3.392	3.320	3.311	3.106	3.299	
3.462	3.320	3.311	3.106	3.299	
3.252	3.320	3.311	3.106	3.299	
3.392	3.320	3.311	3.106	3.299	
3.462	3.320	3.311	3.106	3.299	
3.252	3.320	3.311	3.106	3.299	
3.392	3.320	3.311	3.106	3.299	
3.462	3.320	3.311	3.106	3.299	
3.252	3.320	3.311	3.106	3.299	
3.392	3.320	3.311	3.106	3.299	
3.217	3.320	3.311	3.106	3.299	
3.374	3.320	3.311	3.106	3.299	
3.453	3.320	3.311	3.106	3.299	
3.247	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.461	3.320	3.311	3.106	3.299	
3.251	3.320	3.311	3.106	3.299	
3.391	3.320	3.311	3.106	3.299	
3.217	3.320	3.311	3.106	3.299	
3.374	3.320	3.311	3.106	3.299	
3.453	3.320	3.311	3.106	3.299	
3.247	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.461	3.320	3.311	3.106	3.299	
3.251	3.320	3.311	3.106	3.299	
3.391	3.320	3.311	3.106	3.299	
3.461	3.320	3.311	3.106	3.299	
3.252	3.320	3.311	3.106	3.299	
3.392	3.320	3.311	3.106	3.299	
3.217	3.320	3.311	3.106	3.299	
3.374	3.320	3.311	3.106	3.299	
3.453	3.320	3.311	3.106	3.299	
3.247	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.216	3.320	3.311	3.106	3.299	
3.374	3.320	3.311	3.106	3.299	
3.208	3.320	3.311	3.106	3.299	
3.370	3.320	3.311	3.106	3.299	
3.206	3.320	3.311	3.106	3.299	
3.369	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.450	3.320	3.311	3.106	3.299	
3.246	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.215	3.320	3.311	3.106	3.299	
3.373	3.320	3.311	3.106	3.299	
3.208	3.320	3.311	3.106	3.299	
3.370	3.320	3.311	3.106	3.299	
3.206	3.320	3.311	3.106	3.299	
3.369	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.450	3.320	3.311	3.106	3.299	
3.246	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.215	3.320	3.311	3.106	3.299	
3.373	3.320	3.311	3.106	3.299	
3.208	3.320	3.311	3.106	3.299	
3.370	3.320	3.311	3.106	3.299	
3.206	3.320	3.311	3.106	3.299	
3.369	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.205	3.320	3.311	3.106	3.299	
3.368	3.320	3.311	3.106	3.299	
3.450	3.320	3.311	3.106	3.299	
3.246	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.215	3.320	3.311	3.106	3.299	
3.373	3.320	3.311	3.106	3.299	
3.208	3.320	3.311	3.106	3.299	
3.370	3.320	3.311	3.106	3.299	
3.451	3.320	3.311	3.106	3.299	
3.246	3.320	3.311	3.106	3.299	
3.389	3.320	3.311	3.106	3.299	
3.215	3.320	3.311	3.106	3.299	
