Server_0B	Server_0	Server_01	Server_0D	Server_0A	
3.310	3.243	3.246	3.566	3.313	
3.310	3.243	3.246	3.549	3.313	
3.310	3.243	3.246	3.540	3.313	
3.310	3.243	3.246	3.291	3.313	
3.310	3.243	3.246	3.656	3.313	
3.310	3.243	3.246	3.594	3.313	
3.310	3.243	3.246	3.563	3.313	
3.310	3.243	3.246	3.302	3.313	
3.310	3.243	3.246	3.417	3.313	
3.310	3.243	3.246	3.719	3.313	
3.310	3.243	3.246	3.625	3.313	
3.310	3.243	3.246	3.334	3.313	
3.310	3.243	3.246	3.188	3.313	
3.310	3.243	3.246	3.604	3.313	
3.310	3.243	3.246	3.323	3.313	
3.310	3.243	3.246	3.427	3.313	
3.310	3.243	3.246	3.479	3.313	
3.310	3.243	3.246	3.506	3.313	
3.310	3.243	3.246	3.274	3.313	
3.310	3.243	3.246	3.403	3.313	
3.310	3.243	3.246	3.467	3.313	
3.310	3.243	3.246	3.499	3.313	
3.310	3.243	3.246	3.515	3.313	
3.310	3.243	3.246	3.524	3.313	
3.310	3.243	3.246	3.283	3.313	
3.310	3.243	3.246	3.407	3.313	
3.310	3.243	3.246	3.469	3.313	
3.310	3.243	3.246	3.500	3.313	
3.310	3.243	3.246	3.271	3.313	
3.310	3.243	3.246	3.401	3.313	
3.310	3.243	3.246	3.466	3.313	
3.310	3.243	3.246	3.499	3.313	
3.310	3.243	3.246	3.270	3.313	
3.310	3.243	3.246	3.401	3.313	
3.310	3.243	3.246	3.466	3.313	
3.310	3.243	3.246	3.254	3.313	
3.310	3.243	3.246	3.393	3.313	
3.310	3.243	3.246	3.462	3.313	
