Server_03	Server_0	Server_09	Server_0D	Server_0C	
3.357	3.355	3.488	3.430	3.330	
3.357	3.355	3.488	3.726	3.330	
3.357	3.355	3.488	3.629	3.330	
3.357	3.355	3.488	3.580	3.330	
3.357	3.355	3.488	3.556	3.330	
3.357	3.355	3.488	3.299	3.330	
3.357	3.355	3.265	3.299	3.330	
3.357	3.355	3.643	3.299	3.330	
3.357	3.355	3.342	3.299	3.330	
3.357	3.355	3.437	3.299	3.330	
3.357	3.355	3.729	3.299	3.330	
3.357	3.355	3.630	3.299	3.330	
3.357	3.355	3.336	3.299	3.330	
3.199	3.355	3.336	3.299	3.330	
3.610	3.355	3.336	3.299	3.330	
3.571	3.355	3.336	3.299	3.330	
3.306	3.355	3.336	3.299	3.330	
3.306	3.199	3.336	3.299	3.330	
3.306	3.365	3.336	3.299	3.330	
3.306	3.448	3.336	3.299	3.330	
3.306	3.735	3.336	3.299	3.330	
3.306	3.388	3.336	3.299	3.330	
3.306	3.460	3.336	3.299	3.330	
3.306	3.741	3.336	3.299	3.330	
3.306	3.636	3.336	3.299	3.330	
3.306	3.584	3.336	3.299	3.330	
3.306	3.313	3.336	3.299	3.330	
3.306	3.667	3.336	3.299	3.330	
3.306	3.599	3.336	3.299	3.330	
3.306	3.565	3.336	3.299	3.330	
3.306	3.304	3.336	3.299	3.330	
3.306	3.418	3.336	3.299	3.330	
3.306	3.475	3.336	3.299	3.330	
3.306	3.748	3.336	3.299	3.330	
3.306	3.395	3.336	3.299	3.330	
3.306	3.463	3.336	3.299	3.330	
3.306	3.497	3.336	3.299	3.330	
3.306	3.515	3.336	3.299	3.330	
3.306	3.278	3.336	3.299	3.330	
3.306	3.405	3.336	3.299	3.330	
3.306	3.713	3.336	3.299	3.330	
3.306	3.622	3.336	3.299	3.330	
3.306	3.332	3.336	3.299	3.330	
3.306	3.677	3.336	3.299	3.330	
3.306	3.604	3.336	3.299	3.330	
3.306	3.568	3.336	3.299	3.330	
3.306	3.305	3.336	3.299	3.330	
3.306	3.418	3.336	3.299	3.330	
3.306	3.720	3.336	3.299	3.330	
3.306	3.626	3.336	3.299	3.330	
3.306	3.579	3.336	3.299	3.330	
3.306	3.555	3.336	3.299	3.330	
3.306	3.543	3.336	3.299	3.330	
3.306	3.293	3.336	3.299	3.330	
3.306	3.412	3.336	3.299	3.330	
3.306	3.472	3.336	3.299	3.330	
3.306	3.502	3.336	3.299	3.330	
3.306	3.272	3.336	3.299	3.330	
3.306	3.646	3.336	3.299	3.330	
3.306	3.589	3.336	3.299	3.330	
3.306	3.560	3.336	3.299	3.330	
3.306	3.546	3.336	3.299	3.330	
3.306	3.539	3.336	3.299	3.330	
3.306	3.535	3.336	3.299	3.330	
3.306	3.288	3.336	3.299	3.330	
3.306	3.655	3.336	3.299	3.330	
3.306	3.593	3.336	3.299	3.330	
3.306	3.318	3.336	3.299	3.330	
3.306	3.425	3.336	3.299	3.330	
3.306	3.723	3.336	3.299	3.330	
3.306	3.382	3.336	3.299	3.330	
3.306	3.212	3.336	3.299	3.330	
3.306	3.617	3.336	3.299	3.330	
3.306	3.329	3.336	3.299	3.330	
3.306	3.329	3.189	3.299	3.330	
3.306	3.329	3.360	3.299	3.330	
3.306	3.329	3.446	3.299	3.330	
3.306	3.329	3.734	3.299	3.330	
3.306	3.329	3.633	3.299	3.330	
3.306	3.329	3.582	3.299	3.330	
3.306	3.329	3.557	3.299	3.330	
3.306	3.329	3.544	3.299	3.330	
3.306	3.329	3.538	3.299	3.330	
3.306	3.329	3.780	3.299	3.330	
3.306	3.329	3.656	3.299	3.330	
3.306	3.329	3.594	3.299	3.330	
3.306	3.329	3.563	3.299	3.330	
3.306	3.329	3.547	3.299	3.330	
3.306	3.329	3.539	3.299	3.330	
3.306	3.329	3.535	3.299	3.330	
3.306	3.329	3.534	3.299	3.330	
3.306	3.329	3.533	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.776	3.299	3.330	
3.306	3.329	3.654	3.299	3.330	
3.306	3.329	3.593	3.299	3.330	
3.306	3.329	3.562	3.299	3.330	
3.306	3.329	3.547	3.299	3.330	
3.306	3.329	3.539	3.299	3.330	
3.306	3.329	3.535	3.299	3.330	
3.306	3.329	3.534	3.299	3.330	
3.306	3.329	3.533	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.532	3.299	3.330	
3.306	3.329	3.287	3.299	3.330	
3.306	3.329	3.654	3.299	3.330	
3.306	3.329	3.593	3.299	3.330	
3.306	3.329	3.562	3.299	3.330	
3.306	3.329	3.547	3.299	3.330	
3.306	3.329	3.294	3.299	3.330	
3.306	3.329	3.413	3.299	3.330	
3.306	3.329	3.472	3.299	3.330	
3.306	3.329	3.257	3.299	3.330	
3.306	3.329	3.639	3.299	3.330	
3.306	3.329	3.585	3.299	3.330	
3.306	3.329	3.314	3.299	3.330	
3.306	3.329	3.667	3.299	3.330	
3.306	3.329	3.599	3.299	3.330	
3.306	3.329	3.566	3.299	3.330	
3.306	3.329	3.304	3.299	3.330	
3.306	3.329	3.418	3.299	3.330	
3.306	3.329	3.475	3.299	3.330	
3.306	3.329	3.503	3.299	3.330	
3.306	3.329	3.517	3.299	3.330	
3.306	3.329	3.280	3.299	3.330	
3.306	3.329	3.650	3.299	3.330	
3.306	3.329	3.591	3.299	3.330	
3.306	3.329	3.561	3.299	3.330	
3.306	3.329	3.791	3.299	3.330	
3.306	3.329	3.661	3.299	3.330	
3.306	3.329	3.597	3.299	3.330	
3.306	3.329	3.564	3.299	3.330	
3.306	3.329	3.548	3.299	3.330	
3.306	3.329	3.540	3.299	3.330	
3.306	3.329	3.536	3.299	3.330	
3.306	3.329	3.534	3.299	3.330	
3.306	3.329	3.533	3.299	3.330	
3.306	3.329	3.287	3.299	3.330	
3.306	3.329	3.654	3.299	3.330	
3.306	3.329	3.593	3.299	3.330	
3.306	3.329	3.562	3.299	3.330	
3.306	3.329	3.547	3.299	3.330	
3.306	3.329	3.539	3.299	3.330	
3.306	3.329	3.291	3.299	3.330	
3.306	3.329	3.656	3.299	3.330	
3.306	3.329	3.594	3.299	3.330	
3.306	3.329	3.563	3.299	3.330	
3.306	3.329	3.547	3.299	3.330	
3.306	3.329	3.294	3.299	3.330	
3.306	3.329	3.294	3.299	3.186	
3.306	3.329	3.294	3.299	3.359	
3.306	3.329	3.294	3.299	3.200	
3.306	3.329	3.294	3.299	3.366	
3.306	3.329	3.294	3.299	3.204	
3.306	3.329	3.294	3.299	3.368	
3.306	3.329	3.294	3.299	3.205	
3.306	3.329	3.294	3.299	3.368	
3.306	3.329	3.294	3.299	3.450	
3.306	3.329	3.294	3.299	3.246	
3.306	3.329	3.294	3.299	3.389	
3.306	3.329	3.294	3.299	3.215	
3.306	3.329	3.294	3.299	3.373	
3.306	3.329	3.294	3.299	3.453	
3.306	3.329	3.294	3.299	3.247	
3.306	3.329	3.294	3.299	3.389	
3.306	3.329	3.294	3.299	3.216	
3.306	3.329	3.294	3.299	3.374	
3.306	3.329	3.294	3.299	3.208	
3.306	3.329	3.294	3.299	3.370	
3.306	3.329	3.294	3.299	3.206	
3.306	3.329	3.294	3.299	3.369	
