Server_0B	Server_0	Server_09	Server_0C	Server_0A	
3.358	3.334	3.362	3.331	3.411	
3.358	3.677	3.362	3.331	3.411	
3.358	3.360	3.362	3.331	3.411	
3.358	3.360	3.362	3.331	3.226	
3.358	3.360	3.362	3.331	3.624	
3.358	3.360	3.362	3.331	3.333	
3.358	3.360	3.362	3.331	3.677	
3.358	3.360	3.362	3.331	3.604	
3.358	3.360	3.362	3.331	3.323	
3.358	3.360	3.202	3.331	3.323	
3.358	3.360	3.367	3.331	3.323	
3.358	3.360	3.449	3.331	3.323	
3.358	3.360	3.735	3.331	3.323	
3.358	3.360	3.633	3.331	3.323	
3.358	3.360	3.338	3.331	3.323	
3.358	3.201	3.338	3.331	3.323	
3.358	3.366	3.338	3.331	3.323	
3.358	3.694	3.338	3.331	3.323	
3.358	3.613	3.338	3.331	3.323	
3.358	3.327	3.338	3.331	3.323	
3.358	3.674	3.338	3.331	3.323	
3.358	3.603	3.338	3.331	3.323	
3.358	3.567	3.338	3.331	3.323	
3.358	3.305	3.338	3.331	3.323	
3.358	3.418	3.338	3.331	3.323	
3.358	3.720	3.338	3.331	3.323	
3.358	3.626	3.338	3.331	3.323	
3.358	3.334	3.338	3.331	3.323	
3.358	3.433	3.338	3.331	3.323	
3.358	3.727	3.338	3.331	3.323	
3.358	3.629	3.338	3.331	3.323	
3.358	3.336	3.338	3.331	3.323	
3.358	3.434	3.338	3.331	3.323	
3.358	3.483	3.338	3.331	3.323	
3.358	3.507	3.338	3.331	3.323	
3.358	3.274	3.338	3.331	3.323	
3.358	3.403	3.338	3.331	3.323	
3.358	3.712	3.338	3.331	3.323	
3.358	3.622	3.338	3.331	3.323	
3.358	3.577	3.338	3.331	3.323	
3.358	3.554	3.338	3.331	3.323	
3.358	3.543	3.338	3.331	3.323	
3.358	3.292	3.338	3.331	3.323	
3.358	3.412	3.338	3.331	3.323	
3.358	3.717	3.338	3.331	3.323	
3.358	3.624	3.338	3.331	3.323	
3.358	3.333	3.338	3.331	3.323	
3.358	3.677	3.338	3.331	3.323	
3.358	3.604	3.338	3.331	3.323	
3.358	3.568	3.338	3.331	3.323	
3.358	3.550	3.338	3.331	3.323	
3.358	3.541	3.338	3.331	3.323	
3.358	3.536	3.338	3.331	3.323	
3.358	3.289	3.338	3.331	3.323	
3.358	3.655	3.338	3.331	3.323	
3.358	3.593	3.338	3.331	3.323	
3.358	3.318	3.338	3.331	3.323	
3.200	3.318	3.338	3.331	3.323	
3.366	3.318	3.338	3.331	3.323	
3.449	3.318	3.338	3.331	3.323	
3.490	3.318	3.338	3.331	3.323	
3.756	3.318	3.338	3.331	3.323	
3.644	3.318	3.338	3.331	3.323	
3.588	3.318	3.338	3.331	3.323	
3.560	3.318	3.338	3.331	3.323	
3.546	3.318	3.338	3.331	3.323	
3.539	3.318	3.338	3.331	3.323	
3.535	3.318	3.338	3.331	3.323	
3.288	3.318	3.338	3.331	3.323	
3.655	3.318	3.338	3.331	3.323	
3.593	3.318	3.338	3.331	3.323	
3.562	3.318	3.338	3.331	3.323	
3.547	3.318	3.338	3.331	3.323	
3.294	3.318	3.338	3.331	3.323	
3.658	3.318	3.338	3.331	3.323	
3.595	3.318	3.338	3.331	3.323	
3.563	3.318	3.338	3.331	3.323	
3.547	3.318	3.338	3.331	3.323	
3.539	3.318	3.338	3.331	3.323	
3.536	3.318	3.338	3.331	3.323	
3.534	3.318	3.338	3.331	3.323	
3.533	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.287	3.318	3.338	3.331	3.323	
3.654	3.318	3.338	3.331	3.323	
3.348	3.318	3.338	3.331	3.323	
3.685	3.318	3.338	3.331	3.323	
3.608	3.318	3.338	3.331	3.323	
3.570	3.318	3.338	3.331	3.323	
3.551	3.318	3.338	3.331	3.323	
3.541	3.318	3.338	3.331	3.323	
3.536	3.318	3.338	3.331	3.323	
3.534	3.318	3.338	3.331	3.323	
3.533	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.287	3.318	3.338	3.331	3.323	
3.654	3.318	3.338	3.331	3.323	
3.593	3.318	3.338	3.331	3.323	
3.562	3.318	3.338	3.331	3.323	
3.547	3.318	3.338	3.331	3.323	
3.539	3.318	3.338	3.331	3.323	
3.535	3.318	3.338	3.331	3.323	
3.534	3.318	3.338	3.331	3.323	
3.533	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.532	3.318	3.338	3.331	3.323	
3.287	3.318	3.338	3.331	3.323	
3.409	3.318	3.338	3.331	3.323	
3.715	3.318	3.338	3.331	3.323	
3.623	3.318	3.338	3.331	3.323	
3.577	3.318	3.338	3.331	3.323	
3.555	3.318	3.338	3.331	3.323	
3.543	3.318	3.338	3.331	3.323	
3.537	3.318	3.338	3.331	3.323	
3.534	3.318	3.338	3.331	3.323	
3.533	3.318	3.338	3.331	3.323	
3.777	3.318	3.338	3.331	3.323	
3.654	3.318	3.338	3.331	3.323	
3.593	3.318	3.338	3.331	3.323	
3.317	3.318	3.338	3.331	3.323	
3.424	3.318	3.338	3.331	3.323	
3.478	3.318	3.338	3.331	3.323	
3.505	3.318	3.338	3.331	3.323	
3.273	3.318	3.338	3.331	3.323	
3.647	3.318	3.338	3.331	3.323	
3.589	3.318	3.338	3.331	3.323	
3.316	3.318	3.338	3.331	3.323	
3.668	3.318	3.338	3.331	3.323	
3.600	3.318	3.338	3.331	3.323	
3.321	3.318	3.338	3.331	3.323	
3.426	3.318	3.338	3.331	3.323	
3.479	3.318	3.338	3.331	3.323	
3.505	3.318	3.338	3.331	3.323	
3.518	3.318	3.338	3.331	3.323	
3.280	3.318	3.338	3.331	3.323	
3.406	3.318	3.338	3.331	3.323	
3.714	3.318	3.338	3.331	3.323	
3.623	3.318	3.338	3.331	3.323	
3.577	3.318	3.338	3.331	3.323	
3.554	3.318	3.338	3.331	3.323	
3.543	3.318	3.338	3.331	3.323	
3.292	3.318	3.338	3.331	3.323	
3.412	3.318	3.338	3.331	3.323	
3.717	3.318	3.338	3.331	3.323	
3.624	3.318	3.338	3.331	3.323	
3.578	3.318	3.338	3.331	3.323	
3.555	3.318	3.338	3.331	3.323	
3.298	3.318	3.338	3.331	3.323	
3.660	3.318	3.338	3.331	3.323	
3.596	3.318	3.338	3.331	3.323	
3.564	3.318	3.338	3.331	3.323	
3.548	3.318	3.338	3.331	3.323	
3.295	3.318	3.338	3.331	3.323	
3.413	3.318	3.338	3.331	3.323	
