Server_0E	Server_0	Server_0B	Server_0F	Server_06	
3.304	3.617	3.187	3.374	3.247	
3.304	3.574	3.187	3.374	3.247	
3.304	3.553	3.187	3.374	3.247	
3.304	3.297	3.187	3.374	3.247	
3.304	3.659	3.187	3.374	3.247	
3.304	3.595	3.187	3.374	3.247	
3.304	3.319	3.187	3.374	3.247	
3.304	3.425	3.187	3.374	3.247	
3.304	3.723	3.187	3.374	3.247	
3.304	3.627	3.187	3.374	3.247	
3.304	3.335	3.187	3.374	3.247	
3.304	3.433	3.187	3.374	3.247	
3.304	3.727	3.187	3.374	3.247	
3.304	3.629	3.187	3.374	3.247	
3.304	3.336	3.187	3.374	3.247	
3.304	3.434	3.187	3.374	3.247	
3.304	3.727	3.187	3.374	3.247	
3.304	3.629	3.187	3.374	3.247	
3.304	3.336	3.187	3.374	3.247	
3.304	3.434	3.187	3.374	3.247	
3.304	3.727	3.187	3.374	3.247	
3.304	3.629	3.187	3.374	3.247	
3.304	3.336	3.187	3.374	3.247	
3.304	3.434	3.187	3.374	3.247	
3.304	3.483	3.187	3.374	3.247	
3.304	3.507	3.187	3.374	3.247	
3.304	3.274	3.187	3.374	3.247	
3.304	3.403	3.187	3.374	3.247	
3.304	3.712	3.187	3.374	3.247	
3.304	3.622	3.187	3.374	3.247	
3.304	3.332	3.187	3.374	3.247	
3.304	3.432	3.187	3.374	3.247	
3.304	3.726	3.187	3.374	3.247	
3.304	3.629	3.187	3.374	3.247	
3.304	3.335	3.187	3.374	3.247	
3.304	3.335	3.187	3.208	3.247	
3.304	3.335	3.187	3.615	3.247	
3.304	3.335	3.187	3.328	3.247	
3.304	3.335	3.187	3.675	3.247	
3.304	3.335	3.187	3.603	3.247	
3.304	3.335	3.187	3.322	3.247	
3.304	3.335	3.187	3.672	3.247	
3.304	3.335	3.187	3.602	3.247	
3.304	3.335	3.187	3.322	3.247	
3.304	3.189	3.187	3.322	3.247	
3.304	3.605	3.187	3.322	3.247	
3.304	3.568	3.187	3.322	3.247	
3.304	3.305	3.187	3.322	3.247	
3.304	3.418	3.187	3.322	3.247	
3.304	3.475	3.187	3.322	3.247	
3.304	3.258	3.187	3.322	3.247	
3.304	3.395	3.187	3.322	3.247	
3.304	3.708	3.187	3.322	3.247	
3.304	3.620	3.187	3.322	3.247	
3.304	3.576	3.187	3.322	3.247	
3.304	3.309	3.187	3.322	3.247	
3.304	3.665	3.187	3.322	3.247	
3.304	3.598	3.187	3.322	3.247	
3.304	3.565	3.187	3.322	3.247	
3.304	3.548	3.187	3.322	3.247	
3.304	3.540	3.187	3.322	3.247	
3.304	3.536	3.187	3.322	3.247	
3.304	3.289	3.187	3.322	3.247	
3.304	3.655	3.187	3.322	3.247	
3.304	3.593	3.187	3.322	3.247	
3.304	3.562	3.187	3.322	3.247	
3.304	3.547	3.187	3.322	3.247	
3.304	3.539	3.187	3.322	3.247	
3.304	3.535	3.187	3.322	3.247	
3.304	3.534	3.187	3.322	3.247	
3.304	3.533	3.187	3.322	3.247	
3.304	3.532	3.187	3.322	3.247	
3.304	3.287	3.187	3.322	3.247	
3.304	3.654	3.187	3.322	3.247	
3.304	3.593	3.187	3.322	3.247	
3.304	3.562	3.187	3.322	3.247	
3.304	3.302	3.187	3.322	3.247	
3.304	3.417	3.187	3.322	3.247	
3.304	3.474	3.187	3.322	3.247	
3.304	3.258	3.187	3.322	3.247	
3.304	3.395	3.187	3.322	3.247	
3.304	3.708	3.187	3.322	3.247	
3.304	3.375	3.187	3.322	3.247	
3.304	3.453	3.187	3.322	3.247	
3.304	3.248	3.187	3.322	3.247	
3.304	3.390	3.187	3.322	3.247	
3.304	3.461	3.187	3.322	3.247	
3.304	3.496	3.187	3.322	3.247	
3.304	3.514	3.187	3.322	3.247	
3.304	3.523	3.187	3.322	3.247	
3.304	3.527	3.187	3.322	3.247	
3.304	3.529	3.187	3.322	3.247	
3.304	3.286	3.187	3.322	3.247	
3.304	3.409	3.187	3.322	3.247	
3.304	3.470	3.187	3.322	3.247	
3.304	3.501	3.187	3.322	3.247	
3.304	3.516	3.187	3.322	3.247	
3.304	3.524	3.187	3.322	3.247	
3.304	3.283	3.187	3.322	3.247	
3.304	3.407	3.187	3.322	3.247	
3.304	3.469	3.187	3.322	3.247	
3.304	3.501	3.187	3.322	3.247	
3.304	3.271	3.187	3.322	3.247	
3.304	3.401	3.187	3.322	3.247	
3.304	3.466	3.187	3.322	3.247	
3.304	3.254	3.187	3.322	3.247	
3.304	3.393	3.187	3.322	3.247	
3.304	3.462	3.187	3.322	3.247	
3.304	3.497	3.187	3.322	3.247	
3.304	3.269	3.187	3.322	3.247	
3.304	3.400	3.187	3.322	3.247	
3.304	3.466	3.187	3.322	3.247	
3.304	3.254	3.187	3.322	3.247	
3.304	3.393	3.187	3.322	3.247	
3.304	3.462	3.187	3.322	3.247	
3.304	3.497	3.187	3.322	3.247	
3.304	3.269	3.187	3.322	3.247	
3.304	3.400	3.187	3.322	3.247	
3.304	3.466	3.187	3.322	3.247	
3.304	3.499	3.187	3.322	3.247	
3.304	3.270	3.187	3.322	3.247	
3.304	3.401	3.187	3.322	3.247	
3.304	3.466	3.187	3.322	3.247	
3.304	3.254	3.187	3.322	3.247	
3.304	3.393	3.187	3.322	3.247	
3.304	3.462	3.187	3.322	3.247	
3.304	3.497	3.187	3.322	3.247	
3.304	3.269	3.187	3.322	3.247	
3.304	3.400	3.187	3.322	3.247	
3.304	3.466	3.187	3.322	3.247	
3.304	3.254	3.187	3.322	3.247	
3.304	3.393	3.187	3.322	3.247	
3.304	3.462	3.187	3.322	3.247	
3.304	3.252	3.187	3.322	3.247	
3.304	3.392	3.187	3.322	3.247	
3.304	3.462	3.187	3.322	3.247	
3.304	3.252	3.187	3.322	3.247	
3.304	3.392	3.187	3.322	3.247	
3.304	3.217	3.187	3.322	3.247	
3.304	3.374	3.187	3.322	3.247	
3.304	3.453	3.187	3.322	3.247	
3.304	3.247	3.187	3.322	3.247	
3.304	3.389	3.187	3.322	3.247	
3.304	3.216	3.187	3.322	3.247	
3.304	3.374	3.187	3.322	3.247	
3.304	3.208	3.187	3.322	3.247	
3.304	3.370	3.187	3.322	3.247	
3.304	3.451	3.187	3.322	3.247	
3.304	3.246	3.187	3.322	3.247	
3.304	3.389	3.187	3.322	3.247	
3.304	3.215	3.187	3.322	3.247	
3.304	3.373	3.187	3.322	3.247	
3.304	3.208	3.187	3.322	3.247	
3.304	3.370	3.187	3.322	3.247	
3.304	3.206	3.187	3.322	3.247	
3.304	3.369	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
3.304	3.205	3.187	3.322	3.247	
3.304	3.368	3.187	3.322	3.247	
