Server_0C	Server_0	Server_0D	Server_0F	Server_00	
3.303	3.402	3.519	3.320	3.036	
3.303	3.402	3.525	3.320	3.036	
3.303	3.402	3.528	3.320	3.036	
3.303	3.402	3.775	3.320	3.036	
3.303	3.402	3.408	3.320	3.036	
3.303	3.402	3.225	3.320	3.036	
3.303	3.402	3.623	3.320	3.036	
3.303	3.402	3.332	3.320	3.036	
3.303	3.222	3.332	3.320	3.036	
3.303	3.622	3.332	3.320	3.036	
3.303	3.332	3.332	3.320	3.036	
3.303	3.432	3.332	3.320	3.036	
3.303	3.726	3.332	3.320	3.036	
3.303	3.629	3.332	3.320	3.036	
3.303	3.335	3.332	3.320	3.036	
3.303	3.433	3.332	3.320	3.036	
3.303	3.727	3.332	3.320	3.036	
3.303	3.629	3.332	3.320	3.036	
3.303	3.336	3.332	3.320	3.036	
3.303	3.434	3.332	3.320	3.036	
3.303	3.727	3.332	3.320	3.036	
3.303	3.629	3.332	3.320	3.036	
3.303	3.336	3.332	3.320	3.036	
3.303	3.189	3.332	3.320	3.036	
3.303	3.605	3.332	3.320	3.036	
3.303	3.568	3.332	3.320	3.036	
3.303	3.305	3.332	3.320	3.036	
3.303	3.663	3.332	3.320	3.036	
3.303	3.597	3.332	3.320	3.036	
3.303	3.320	3.332	3.320	3.036	
3.303	3.426	3.332	3.320	3.036	
3.303	3.234	3.332	3.320	3.036	
3.303	3.627	3.332	3.320	3.036	
3.303	3.580	3.332	3.320	3.036	
3.303	3.311	3.332	3.320	3.036	
3.303	3.421	3.332	3.320	3.036	
3.303	3.721	3.332	3.320	3.036	
3.303	3.626	3.332	3.320	3.036	
3.303	3.334	3.332	3.320	3.036	
3.303	3.433	3.332	3.320	3.036	
3.303	3.727	3.332	3.320	3.036	
3.303	3.629	3.332	3.320	3.036	
3.303	3.336	3.332	3.320	3.036	
3.303	3.434	3.332	3.320	3.036	
3.303	3.727	3.332	3.320	3.036	
3.303	3.629	3.332	3.320	3.036	
3.303	3.336	3.332	3.320	3.036	
3.303	3.189	3.332	3.320	3.036	
3.303	3.605	3.332	3.320	3.036	
3.303	3.568	3.332	3.320	3.036	
3.303	3.305	3.332	3.320	3.036	
3.303	3.418	3.332	3.320	3.036	
3.303	3.720	3.332	3.320	3.036	
3.303	3.626	3.332	3.320	3.036	
3.303	3.334	3.332	3.320	3.036	
3.303	3.433	3.332	3.320	3.036	
3.303	3.727	3.332	3.320	3.036	
3.303	3.629	3.332	3.320	3.036	
3.303	3.336	3.332	3.320	3.036	
3.303	3.189	3.332	3.320	3.036	
3.303	3.605	3.332	3.320	3.036	
3.303	3.568	3.332	3.320	3.036	
3.303	3.550	3.332	3.320	3.036	
3.303	3.541	3.332	3.320	3.036	
3.303	3.536	3.332	3.320	3.036	
3.303	3.289	3.332	3.320	3.036	
3.303	3.410	3.332	3.320	3.036	
3.303	3.716	3.332	3.320	3.036	
3.303	3.624	3.332	3.320	3.036	
3.303	3.333	3.332	3.320	3.036	
3.303	3.677	3.332	3.320	3.036	
3.303	3.604	3.332	3.320	3.036	
3.303	3.568	3.332	3.320	3.036	
3.303	3.550	3.332	3.320	3.036	
3.303	3.541	3.332	3.320	3.036	
3.303	3.536	3.332	3.320	3.036	
3.303	3.289	3.332	3.320	3.036	
3.303	3.410	3.332	3.320	3.036	
3.303	3.471	3.332	3.320	3.036	
3.303	3.501	3.332	3.320	3.036	
3.303	3.272	3.332	3.320	3.036	
3.303	3.646	3.332	3.320	3.036	
3.303	3.344	3.332	3.320	3.036	
3.303	3.438	3.332	3.320	3.036	
3.303	3.485	3.332	3.320	3.036	
3.303	3.753	3.332	3.320	3.036	
3.303	3.397	3.332	3.320	3.036	
3.303	3.220	3.332	3.320	3.036	
3.303	3.376	3.332	3.320	3.036	
3.303	3.454	3.332	3.320	3.036	
3.303	3.493	3.332	3.320	3.036	
3.303	3.267	3.332	3.320	3.036	
3.303	3.399	3.332	3.320	3.036	
3.303	3.465	3.332	3.320	3.036	
3.303	3.499	3.332	3.320	3.036	
3.303	3.515	3.332	3.320	3.036	
3.303	3.523	3.332	3.320	3.036	
3.303	3.527	3.332	3.320	3.036	
3.303	3.285	3.332	3.320	3.036	
3.303	3.408	3.332	3.320	3.036	
3.303	3.470	3.332	3.320	3.036	
3.303	3.501	3.332	3.320	3.036	
3.303	3.516	3.332	3.320	3.036	
3.303	3.279	3.332	3.320	3.036	
3.303	3.405	3.332	3.320	3.036	
3.303	3.468	3.332	3.320	3.036	
3.303	3.500	3.332	3.320	3.036	
3.303	3.271	3.332	3.320	3.036	
3.303	3.401	3.332	3.320	3.036	
3.303	3.466	3.332	3.320	3.036	
3.303	3.254	3.332	3.320	3.036	
3.303	3.393	3.332	3.320	3.036	
3.303	3.462	3.332	3.320	3.036	
3.303	3.497	3.332	3.320	3.036	
3.303	3.269	3.332	3.320	3.036	
3.303	3.400	3.332	3.320	3.036	
3.303	3.466	3.332	3.320	3.036	
3.303	3.499	3.332	3.320	3.036	
3.303	3.270	3.332	3.320	3.036	
3.303	3.401	3.332	3.320	3.036	
3.303	3.466	3.332	3.320	3.036	
3.303	3.254	3.332	3.320	3.036	
3.303	3.393	3.332	3.320	3.036	
3.303	3.462	3.332	3.320	3.036	
3.303	3.497	3.332	3.320	3.036	
3.303	3.269	3.332	3.320	3.036	
3.303	3.400	3.332	3.320	3.036	
3.303	3.466	3.332	3.320	3.036	
3.303	3.254	3.332	3.320	3.036	
3.303	3.393	3.332	3.320	3.036	
3.303	3.462	3.332	3.320	3.036	
3.303	3.497	3.332	3.320	3.036	
3.303	3.269	3.332	3.320	3.036	
3.303	3.400	3.332	3.320	3.036	
3.303	3.466	3.332	3.320	3.036	
3.303	3.254	3.332	3.320	3.036	
3.303	3.393	3.332	3.320	3.036	
3.303	3.462	3.332	3.320	3.036	
3.303	3.252	3.332	3.320	3.036	
3.303	3.392	3.332	3.320	3.036	
3.303	3.462	3.332	3.320	3.036	
3.303	3.252	3.332	3.320	3.036	
3.303	3.392	3.332	3.320	3.036	
3.303	3.217	3.332	3.320	3.036	
3.303	3.374	3.332	3.320	3.036	
3.303	3.208	3.332	3.320	3.036	
3.303	3.370	3.332	3.320	3.036	
3.303	3.451	3.332	3.320	3.036	
3.303	3.246	3.332	3.320	3.036	
3.303	3.389	3.332	3.320	3.036	
3.303	3.215	3.332	3.320	3.036	
3.303	3.373	3.332	3.320	3.036	
3.303	3.208	3.332	3.320	3.036	
3.303	3.370	3.332	3.320	3.036	
3.303	3.206	3.332	3.320	3.036	
3.303	3.369	3.332	3.320	3.036	
3.303	3.205	3.332	3.320	3.036	
3.303	3.368	3.332	3.320	3.036	
3.303	3.205	3.332	3.320	3.036	
3.303	3.368	3.332	3.320	3.036	
3.303	3.205	3.332	3.320	3.036	
3.303	3.368	3.332	3.320	3.036	
3.303	3.205	3.332	3.320	3.036	
3.303	3.368	3.332	3.320	3.036	
3.303	3.205	3.332	3.320	3.036	
3.303	3.368	3.332	3.320	3.036	
3.303	3.205	3.332	3.320	3.036	
3.303	3.368	3.332	3.320	3.036	
3.303	3.205	3.332	3.320	3.036	
3.303	3.368	3.332	3.320	3.036	
3.303	3.450	3.332	3.320	3.036	
3.303	3.246	3.332	3.320	3.036	
3.303	3.246	3.187	3.320	3.036	
3.303	3.246	3.604	3.320	3.036	
3.303	3.246	3.568	3.320	3.036	
3.303	3.246	3.305	3.320	3.036	
3.303	3.246	3.418	3.320	3.036	
3.303	3.246	3.475	3.320	3.036	
3.303	3.246	3.503	3.320	3.036	
3.303	3.246	3.517	3.320	3.036	
3.303	3.246	3.280	3.320	3.036	
3.303	3.246	3.406	3.320	3.036	
3.303	3.246	3.469	3.320	3.036	
3.303	3.246	3.500	3.320	3.036	
3.303	3.246	3.516	3.320	3.036	
3.303	3.246	3.279	3.320	3.036	
3.303	3.246	3.405	3.320	3.036	
3.303	3.246	3.468	3.320	3.036	
3.303	3.246	3.500	3.320	3.036	
3.303	3.246	3.271	3.320	3.036	
3.303	3.246	3.401	3.320	3.036	
3.303	3.246	3.466	3.320	3.036	
3.303	3.246	3.499	3.320	3.036	
3.303	3.246	3.270	3.320	3.036	
3.303	3.246	3.401	3.320	3.036	
3.303	3.246	3.466	3.320	3.036	
3.303	3.246	3.254	3.320	3.036	
3.303	3.246	3.393	3.320	3.036	
