Server_09	Server_0	Server_0E	Server_0F	Server_0B	
3.364	3.414	3.307	3.320	3.138	
3.364	3.718	3.307	3.320	3.138	
3.364	3.625	3.307	3.320	3.138	
3.364	3.333	3.307	3.320	3.138	
3.364	3.432	3.307	3.320	3.138	
3.364	3.727	3.307	3.320	3.138	
3.364	3.629	3.307	3.320	3.138	
3.364	3.335	3.307	3.320	3.138	
3.364	3.434	3.307	3.320	3.138	
3.364	3.483	3.307	3.320	3.138	
3.364	3.507	3.307	3.320	3.138	
3.364	3.274	3.307	3.320	3.138	
3.364	3.403	3.307	3.320	3.138	
3.364	3.712	3.307	3.320	3.138	
3.364	3.622	3.307	3.320	3.138	
3.364	3.332	3.307	3.320	3.138	
3.364	3.432	3.307	3.320	3.138	
3.364	3.726	3.307	3.320	3.138	
3.364	3.629	3.307	3.320	3.138	
3.364	3.335	3.307	3.320	3.138	
3.364	3.434	3.307	3.320	3.138	
3.364	3.727	3.307	3.320	3.138	
3.364	3.629	3.307	3.320	3.138	
3.364	3.336	3.307	3.320	3.138	
3.364	3.434	3.307	3.320	3.138	
3.364	3.483	3.307	3.320	3.138	
3.364	3.752	3.307	3.320	3.138	
3.364	3.397	3.307	3.320	3.138	
3.364	3.219	3.307	3.320	3.138	
3.364	3.620	3.307	3.320	3.138	
3.364	3.576	3.307	3.320	3.138	
3.364	3.554	3.307	3.320	3.138	
3.364	3.543	3.307	3.320	3.138	
3.364	3.537	3.307	3.320	3.138	
3.364	3.289	3.307	3.320	3.138	
3.364	3.411	3.307	3.320	3.138	
3.364	3.716	3.307	3.320	3.138	
3.364	3.624	3.307	3.320	3.138	
3.364	3.333	3.307	3.320	3.138	
3.364	3.432	3.307	3.320	3.138	
3.364	3.727	3.307	3.320	3.138	
3.364	3.629	3.307	3.320	3.138	
3.364	3.580	3.307	3.320	3.138	
3.364	3.556	3.307	3.320	3.138	
3.364	3.544	3.307	3.320	3.138	
3.364	3.538	3.307	3.320	3.138	
3.364	3.535	3.307	3.320	3.138	
3.364	3.533	3.307	3.320	3.138	
3.364	3.287	3.307	3.320	3.138	
3.203	3.287	3.307	3.320	3.138	
3.367	3.287	3.307	3.320	3.138	
3.694	3.287	3.307	3.320	3.138	
3.858	3.287	3.307	3.320	3.138	
3.695	3.287	3.307	3.320	3.138	
3.613	3.287	3.307	3.320	3.138	
3.572	3.287	3.307	3.320	3.138	
3.307	3.287	3.307	3.320	3.138	
3.419	3.287	3.307	3.320	3.138	
3.720	3.287	3.307	3.320	3.138	
3.626	3.287	3.307	3.320	3.138	
3.579	3.287	3.307	3.320	3.138	
3.555	3.287	3.307	3.320	3.138	
3.543	3.287	3.307	3.320	3.138	
3.537	3.287	3.307	3.320	3.138	
3.535	3.287	3.307	3.320	3.138	
3.533	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.287	3.287	3.307	3.320	3.138	
3.654	3.287	3.307	3.320	3.138	
3.593	3.287	3.307	3.320	3.138	
3.562	3.287	3.307	3.320	3.138	
3.547	3.287	3.307	3.320	3.138	
3.539	3.287	3.307	3.320	3.138	
3.535	3.287	3.307	3.320	3.138	
3.534	3.287	3.307	3.320	3.138	
3.533	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.776	3.287	3.307	3.320	3.138	
3.654	3.287	3.307	3.320	3.138	
3.593	3.287	3.307	3.320	3.138	
3.562	3.287	3.307	3.320	3.138	
3.547	3.287	3.307	3.320	3.138	
3.539	3.287	3.307	3.320	3.138	
3.535	3.287	3.307	3.320	3.138	
3.534	3.287	3.307	3.320	3.138	
3.533	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.287	3.287	3.307	3.320	3.138	
3.409	3.287	3.307	3.320	3.138	
3.715	3.287	3.307	3.320	3.138	
3.623	3.287	3.307	3.320	3.138	
3.577	3.287	3.307	3.320	3.138	
3.555	3.287	3.307	3.320	3.138	
3.543	3.287	3.307	3.320	3.138	
3.537	3.287	3.307	3.320	3.138	
3.290	3.287	3.307	3.320	3.138	
3.411	3.287	3.307	3.320	3.138	
3.471	3.287	3.307	3.320	3.138	
3.256	3.287	3.307	3.320	3.138	
3.639	3.287	3.307	3.320	3.138	
3.585	3.287	3.307	3.320	3.138	
3.558	3.287	3.307	3.320	3.138	
3.545	3.287	3.307	3.320	3.138	
3.538	3.287	3.307	3.320	3.138	
3.535	3.287	3.307	3.320	3.138	
3.533	3.287	3.307	3.320	3.138	
3.532	3.287	3.307	3.320	3.138	
3.287	3.287	3.307	3.320	3.138	
3.654	3.287	3.307	3.320	3.138	
3.593	3.287	3.307	3.320	3.138	
3.562	3.287	3.307	3.320	3.138	
3.547	3.287	3.307	3.320	3.138	
3.539	3.287	3.307	3.320	3.138	
3.780	3.287	3.307	3.320	3.138	
3.656	3.287	3.307	3.320	3.138	
3.594	3.287	3.307	3.320	3.138	
3.563	3.287	3.307	3.320	3.138	
3.547	3.287	3.307	3.320	3.138	
3.539	3.287	3.307	3.320	3.138	
3.535	3.287	3.307	3.320	3.138	
3.289	3.287	3.307	3.320	3.138	
3.289	3.287	3.307	3.181	3.138	
3.289	3.287	3.307	3.356	3.138	
3.289	3.287	3.307	3.199	3.138	
3.289	3.287	3.307	3.365	3.138	
3.289	3.287	3.307	3.204	3.138	
3.289	3.287	3.307	3.368	3.138	
3.289	3.287	3.307	3.205	3.138	
3.289	3.287	3.307	3.368	3.138	
3.289	3.287	3.307	3.205	3.138	
3.289	3.287	3.307	3.368	3.138	
3.289	3.287	3.307	3.205	3.138	
3.289	3.287	3.307	3.368	3.138	
3.289	3.287	3.307	3.205	3.138	
3.289	3.287	3.307	3.368	3.138	
3.289	3.287	3.307	3.205	3.138	
3.289	3.287	3.307	3.368	3.138	
3.289	3.287	3.307	3.450	3.138	
3.289	3.287	3.307	3.246	3.138	
3.289	3.287	3.307	3.389	3.138	
3.289	3.287	3.307	3.215	3.138	
3.289	3.287	3.307	3.373	3.138	
3.289	3.287	3.307	3.453	3.138	
3.289	3.287	3.307	3.247	3.138	
3.289	3.287	3.307	3.389	3.138	
3.289	3.287	3.307	3.216	3.138	
3.289	3.287	3.307	3.374	3.138	
3.289	3.287	3.307	3.208	3.138	
3.289	3.287	3.307	3.370	3.138	
3.289	3.287	3.307	3.206	3.138	
3.289	3.287	3.307	3.369	3.138	
3.289	3.287	3.307	3.205	3.138	
3.289	3.287	3.307	3.368	3.138	
3.289	3.287	3.307	3.205	3.138	
