Server_0D	Server_0	Server_01	Server_07	Server_0A	
3.225	3.191	3.191	3.070	3.692	
3.225	3.191	3.191	3.070	3.612	
3.225	3.191	3.191	3.070	3.572	
3.225	3.191	3.191	3.070	3.552	
3.225	3.191	3.191	3.070	3.297	
3.225	3.191	3.191	3.070	3.169	
3.225	3.191	3.191	3.070	3.595	
3.225	3.191	3.191	3.070	3.563	
3.225	3.191	3.191	3.070	3.548	
3.225	3.191	3.191	3.070	3.540	
3.225	3.191	3.191	3.070	3.536	
3.225	3.191	3.191	3.070	3.534	
3.225	3.191	3.191	3.070	3.533	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.287	
3.225	3.191	3.191	3.070	3.654	
3.225	3.191	3.191	3.070	3.348	
3.225	3.191	3.191	3.070	3.685	
3.225	3.191	3.191	3.070	3.363	
3.225	3.191	3.191	3.070	3.202	
3.225	3.191	3.191	3.070	3.612	
3.225	3.191	3.191	3.070	3.327	
3.225	3.191	3.191	3.070	3.184	
3.225	3.191	3.191	3.070	3.603	
3.225	3.191	3.191	3.070	3.567	
3.225	3.191	3.191	3.070	3.549	
3.225	3.191	3.191	3.070	3.540	
3.225	3.191	3.191	3.070	3.536	
3.225	3.191	3.191	3.070	3.534	
3.225	3.191	3.191	3.070	3.533	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.287	
3.225	3.191	3.191	3.070	3.654	
3.225	3.191	3.191	3.070	3.593	
3.225	3.191	3.191	3.070	3.562	
3.225	3.191	3.191	3.070	3.547	
3.225	3.191	3.191	3.070	3.539	
3.225	3.191	3.191	3.070	3.535	
3.225	3.191	3.191	3.070	3.778	
3.225	3.191	3.191	3.070	3.655	
3.225	3.191	3.191	3.070	3.593	
3.225	3.191	3.191	3.070	3.562	
3.225	3.191	3.191	3.070	3.547	
3.225	3.191	3.191	3.070	3.539	
3.225	3.191	3.191	3.070	3.535	
3.225	3.191	3.191	3.070	3.534	
3.225	3.191	3.191	3.070	3.533	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.287	
3.225	3.191	3.191	3.070	3.654	
3.225	3.191	3.191	3.070	3.593	
3.225	3.191	3.191	3.070	3.562	
3.225	3.191	3.191	3.070	3.547	
3.225	3.191	3.191	3.070	3.539	
3.225	3.191	3.191	3.070	3.291	
3.225	3.191	3.191	3.070	3.656	
3.225	3.191	3.191	3.070	3.594	
3.225	3.191	3.191	3.070	3.563	
3.225	3.191	3.191	3.070	3.547	
3.225	3.191	3.191	3.070	3.784	
3.225	3.191	3.191	3.070	3.658	
3.225	3.191	3.191	3.070	3.595	
3.225	3.191	3.191	3.070	3.563	
3.225	3.191	3.191	3.070	3.547	
3.225	3.191	3.191	3.070	3.784	
3.225	3.191	3.191	3.070	3.658	
3.225	3.191	3.191	3.070	3.595	
3.225	3.191	3.191	3.070	3.563	
3.225	3.191	3.191	3.070	3.547	
3.225	3.191	3.191	3.070	3.539	
3.225	3.191	3.191	3.070	3.291	
3.225	3.191	3.191	3.070	3.411	
3.225	3.191	3.191	3.070	3.716	
3.225	3.191	3.191	3.070	3.624	
3.225	3.191	3.191	3.070	3.578	
3.225	3.191	3.191	3.070	3.555	
3.225	3.191	3.191	3.070	3.543	
3.225	3.191	3.191	3.070	3.537	
3.225	3.191	3.191	3.070	3.534	
3.225	3.191	3.191	3.070	3.533	
3.225	3.191	3.191	3.070	3.287	
3.225	3.191	3.191	3.070	3.654	
3.225	3.191	3.191	3.070	3.593	
3.225	3.191	3.191	3.070	3.317	
3.225	3.191	3.191	3.070	3.424	
3.225	3.191	3.191	3.070	3.723	
3.225	3.191	3.191	3.070	3.627	
3.225	3.191	3.191	3.070	3.335	
3.225	3.191	3.191	3.070	3.433	
3.225	3.191	3.191	3.070	3.482	
3.225	3.191	3.191	3.070	3.262	
3.225	3.191	3.191	3.070	3.397	
3.225	3.191	3.191	3.070	3.709	
3.225	3.191	3.191	3.070	3.620	
3.225	3.191	3.191	3.070	3.331	
3.225	3.191	3.191	3.070	3.676	
3.225	3.191	3.191	3.070	3.604	
3.225	3.191	3.191	3.070	3.568	
3.225	3.191	3.191	3.070	3.550	
3.225	3.191	3.191	3.070	3.541	
3.225	3.191	3.191	3.070	3.536	
3.225	3.191	3.191	3.070	3.534	
3.225	3.191	3.191	3.070	3.533	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.532	
3.225	3.191	3.191	3.070	3.287	
3.225	3.191	3.191	3.070	3.654	
3.225	3.191	3.191	3.070	3.593	
3.225	3.191	3.191	3.070	3.562	
