Server_0D	Server_0	Server_09	Server_0F	Server_02	
3.302	3.316	3.310	3.306	3.726	
3.302	3.316	3.310	3.306	3.629	
3.302	3.316	3.310	3.306	3.580	
3.302	3.316	3.310	3.306	3.556	
3.302	3.316	3.310	3.306	3.299	
3.302	3.316	3.310	3.306	3.660	
3.302	3.316	3.310	3.306	3.351	
3.302	3.316	3.310	3.306	3.441	
3.302	3.316	3.310	3.306	3.486	
3.302	3.316	3.310	3.306	3.754	
3.302	3.316	3.310	3.306	3.643	
3.302	3.316	3.310	3.306	3.342	
3.302	3.316	3.310	3.306	3.437	
3.302	3.316	3.310	3.306	3.484	
3.302	3.316	3.310	3.306	3.508	
3.302	3.316	3.310	3.306	3.275	
3.302	3.316	3.310	3.306	3.648	
3.302	3.316	3.310	3.306	3.345	
3.302	3.316	3.310	3.306	3.438	
3.302	3.316	3.310	3.306	3.730	
3.302	3.316	3.310	3.306	3.386	
3.302	3.316	3.310	3.306	3.214	
3.302	3.316	3.310	3.306	3.617	
3.302	3.316	3.310	3.306	3.575	
3.302	3.316	3.310	3.306	3.553	
3.302	3.316	3.310	3.306	3.787	
3.302	3.316	3.310	3.306	3.659	
3.302	3.316	3.310	3.306	3.595	
3.302	3.316	3.310	3.306	3.564	
3.302	3.316	3.310	3.306	3.548	
3.302	3.316	3.310	3.306	3.295	
3.302	3.316	3.310	3.306	3.413	
3.302	3.316	3.310	3.306	3.717	
3.302	3.316	3.310	3.306	3.624	
3.302	3.316	3.310	3.306	3.578	
3.302	3.316	3.310	3.306	3.555	
3.302	3.316	3.310	3.306	3.298	
3.302	3.316	3.310	3.306	3.415	
3.302	3.316	3.310	3.306	3.718	
3.302	3.316	3.310	3.306	3.625	
3.302	3.316	3.310	3.306	3.578	
3.302	3.316	3.310	3.306	3.555	
3.302	3.316	3.310	3.306	3.298	
3.302	3.316	3.310	3.306	3.415	
3.302	3.316	3.310	3.306	3.473	
3.302	3.316	3.310	3.306	3.502	
3.302	3.316	3.310	3.306	3.762	
3.302	3.316	3.310	3.306	3.647	
3.302	3.316	3.310	3.306	3.589	
3.302	3.316	3.310	3.306	3.560	
3.302	3.316	3.310	3.306	3.301	
3.302	3.179	3.310	3.306	3.301	
3.302	3.600	3.310	3.306	3.301	
3.302	3.321	3.310	3.306	3.301	
3.302	3.426	3.310	3.306	3.301	
3.302	3.724	3.310	3.306	3.301	
3.302	3.383	3.310	3.306	3.301	
3.302	3.212	3.310	3.306	3.301	
3.302	3.372	3.310	3.306	3.301	
3.302	3.452	3.310	3.306	3.301	
3.302	3.492	3.310	3.306	3.301	
3.302	3.267	3.310	3.306	3.301	
3.302	3.399	3.310	3.306	3.301	
3.302	3.465	3.310	3.306	3.301	
3.302	3.498	3.310	3.306	3.301	
3.302	3.515	3.310	3.306	3.301	
3.302	3.523	3.310	3.306	3.301	
3.302	3.527	3.310	3.306	3.301	
3.302	3.285	3.310	3.306	3.301	
3.302	3.408	3.310	3.306	3.301	
3.302	3.470	3.310	3.306	3.301	
3.302	3.501	3.310	3.306	3.301	
3.302	3.516	3.310	3.306	3.301	
3.302	3.279	3.310	3.306	3.301	
3.302	3.405	3.310	3.306	3.301	
3.302	3.468	3.310	3.306	3.301	
3.302	3.500	3.310	3.306	3.301	
3.302	3.271	3.310	3.306	3.301	
3.302	3.401	3.310	3.306	3.301	
3.302	3.466	3.310	3.306	3.301	
3.302	3.254	3.310	3.306	3.301	
3.302	3.393	3.310	3.306	3.301	
3.302	3.462	3.310	3.306	3.301	
3.302	3.497	3.310	3.306	3.301	
3.302	3.269	3.310	3.306	3.301	
3.302	3.400	3.310	3.306	3.301	
3.302	3.466	3.310	3.306	3.301	
3.302	3.254	3.310	3.306	3.301	
3.302	3.393	3.310	3.306	3.301	
3.302	3.462	3.310	3.306	3.301	
3.302	3.497	3.310	3.306	3.301	
3.302	3.269	3.310	3.306	3.301	
3.302	3.400	3.310	3.306	3.301	
3.302	3.466	3.310	3.306	3.301	
3.302	3.499	3.310	3.306	3.301	
3.302	3.270	3.310	3.306	3.301	
3.302	3.401	3.310	3.306	3.301	
3.302	3.466	3.310	3.306	3.301	
3.302	3.254	3.310	3.306	3.301	
3.302	3.393	3.310	3.306	3.301	
3.302	3.462	3.310	3.306	3.301	
3.302	3.497	3.310	3.306	3.301	
3.302	3.269	3.310	3.306	3.301	
3.302	3.400	3.310	3.306	3.301	
3.302	3.466	3.310	3.306	3.301	
3.302	3.254	3.310	3.306	3.301	
3.302	3.393	3.310	3.306	3.301	
3.302	3.462	3.310	3.306	3.301	
3.302	3.252	3.310	3.306	3.301	
3.302	3.392	3.310	3.306	3.301	
3.302	3.462	3.310	3.306	3.301	
3.302	3.252	3.310	3.306	3.301	
3.302	3.392	3.310	3.306	3.301	
3.302	3.217	3.310	3.306	3.301	
3.302	3.374	3.310	3.306	3.301	
3.302	3.208	3.310	3.306	3.301	
3.302	3.370	3.310	3.306	3.301	
3.302	3.451	3.310	3.306	3.301	
3.302	3.246	3.310	3.306	3.301	
3.302	3.389	3.310	3.306	3.301	
3.302	3.215	3.310	3.306	3.301	
3.302	3.373	3.310	3.306	3.301	
3.302	3.453	3.310	3.306	3.301	
3.302	3.247	3.310	3.306	3.301	
3.302	3.389	3.310	3.306	3.301	
3.302	3.216	3.310	3.306	3.301	
3.302	3.374	3.310	3.306	3.301	
3.302	3.208	3.310	3.306	3.301	
3.302	3.370	3.310	3.306	3.301	
3.302	3.206	3.310	3.306	3.301	
3.302	3.369	3.310	3.306	3.301	
3.302	3.205	3.310	3.306	3.301	
3.302	3.368	3.310	3.306	3.301	
3.302	3.205	3.310	3.306	3.301	
3.302	3.368	3.310	3.306	3.301	
3.302	3.205	3.310	3.306	3.301	
3.302	3.368	3.310	3.306	3.301	
3.302	3.205	3.310	3.306	3.301	
3.302	3.205	3.176	3.306	3.301	
3.302	3.205	3.598	3.306	3.301	
3.302	3.205	3.565	3.306	3.301	
3.302	3.205	3.303	3.306	3.301	
3.302	3.205	3.662	3.306	3.301	
3.302	3.205	3.597	3.306	3.301	
3.302	3.205	3.564	3.306	3.301	
3.302	3.205	3.548	3.306	3.301	
3.302	3.205	3.540	3.306	3.301	
3.302	3.205	3.291	3.306	3.301	
3.302	3.205	3.656	3.306	3.301	
3.302	3.205	3.594	3.306	3.301	
3.302	3.205	3.318	3.306	3.301	
3.302	3.205	3.425	3.306	3.301	
3.302	3.205	3.233	3.306	3.301	
3.302	3.205	3.382	3.306	3.301	
3.302	3.205	3.457	3.306	3.301	
3.302	3.205	3.494	3.306	3.301	
3.302	3.205	3.513	3.306	3.301	
3.302	3.205	3.522	3.306	3.301	
3.302	3.205	3.772	3.306	3.301	
3.302	3.205	3.652	3.306	3.301	
3.302	3.205	3.592	3.306	3.301	
3.302	3.205	3.562	3.306	3.301	
3.302	3.205	3.547	3.306	3.301	
3.302	3.205	3.539	3.306	3.301	
3.302	3.205	3.535	3.306	3.301	
3.302	3.205	3.533	3.306	3.301	
3.302	3.205	3.533	3.306	3.301	
3.302	3.205	3.532	3.306	3.301	
