Server_0E	Server_0	Server_06	Server_0B	Server_0C	
3.336	3.396	3.326	3.475	3.357	
3.336	3.396	3.326	3.258	3.357	
3.336	3.396	3.326	3.640	3.357	
3.336	3.396	3.326	3.341	3.357	
3.336	3.396	3.326	3.436	3.357	
3.336	3.396	3.326	3.729	3.357	
3.336	3.396	3.326	3.630	3.357	
3.336	3.396	3.326	3.581	3.357	
3.336	3.396	3.326	3.556	3.357	
3.336	3.396	3.326	3.544	3.357	
3.336	3.396	3.326	3.293	3.357	
3.336	3.396	3.326	3.657	3.357	
3.336	3.396	3.326	3.594	3.357	
3.336	3.396	3.326	3.318	3.357	
3.336	3.396	3.326	3.670	3.357	
3.336	3.396	3.326	3.601	3.357	
3.336	3.396	3.326	3.566	3.357	
3.336	3.396	3.326	3.304	3.357	
3.336	3.219	3.326	3.304	3.357	
3.336	3.620	3.326	3.304	3.357	
3.336	3.331	3.326	3.304	3.357	
3.336	3.431	3.326	3.304	3.357	
3.336	3.726	3.326	3.304	3.357	
3.336	3.629	3.326	3.304	3.357	
3.336	3.335	3.326	3.304	3.357	
3.336	3.335	3.326	3.304	3.199	
3.336	3.335	3.326	3.304	3.366	
3.336	3.335	3.326	3.304	3.449	
3.336	3.335	3.326	3.304	3.245	
3.336	3.335	3.326	3.304	3.388	
3.336	3.335	3.326	3.304	3.215	
3.336	3.335	3.326	3.304	3.373	
3.336	3.335	3.326	3.304	3.208	
3.336	3.335	3.326	3.304	3.370	
3.336	3.335	3.326	3.304	3.451	
3.336	3.335	3.326	3.304	3.246	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.215	
3.336	3.335	3.326	3.304	3.373	
3.336	3.335	3.326	3.304	3.208	
3.336	3.335	3.326	3.304	3.370	
3.336	3.335	3.326	3.304	3.206	
3.336	3.335	3.326	3.304	3.369	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.450	
3.336	3.335	3.326	3.304	3.246	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.460	
3.336	3.335	3.326	3.304	3.251	
3.336	3.335	3.326	3.304	3.391	
3.336	3.335	3.326	3.304	3.217	
3.336	3.335	3.326	3.304	3.374	
3.336	3.335	3.326	3.304	3.453	
3.336	3.335	3.326	3.304	3.247	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.216	
3.336	3.335	3.326	3.304	3.374	
3.336	3.335	3.326	3.304	3.208	
3.336	3.335	3.326	3.304	3.370	
3.336	3.335	3.326	3.304	3.206	
3.336	3.335	3.326	3.304	3.369	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.450	
3.336	3.335	3.326	3.304	3.246	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.460	
3.336	3.335	3.326	3.304	3.251	
3.336	3.335	3.326	3.304	3.391	
3.336	3.335	3.326	3.304	3.461	
3.336	3.335	3.326	3.304	3.252	
3.336	3.335	3.326	3.304	3.392	
3.336	3.335	3.326	3.304	3.462	
3.336	3.335	3.326	3.304	3.252	
3.336	3.335	3.326	3.304	3.392	
3.336	3.335	3.326	3.304	3.462	
3.336	3.335	3.326	3.304	3.252	
3.336	3.335	3.326	3.304	3.392	
3.336	3.335	3.326	3.304	3.462	
3.336	3.335	3.326	3.304	3.252	
3.336	3.335	3.326	3.304	3.392	
3.336	3.335	3.326	3.304	3.462	
3.336	3.335	3.326	3.304	3.252	
3.336	3.335	3.326	3.304	3.392	
3.336	3.335	3.326	3.304	3.462	
3.336	3.335	3.326	3.304	3.252	
3.336	3.335	3.326	3.304	3.392	
3.336	3.335	3.326	3.304	3.217	
3.336	3.335	3.326	3.304	3.374	
3.336	3.335	3.326	3.304	3.453	
3.336	3.335	3.326	3.304	3.247	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.461	
3.336	3.335	3.326	3.304	3.251	
3.336	3.335	3.326	3.304	3.391	
3.336	3.335	3.326	3.304	3.217	
3.336	3.335	3.326	3.304	3.374	
3.336	3.335	3.326	3.304	3.453	
3.336	3.335	3.326	3.304	3.247	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.461	
3.336	3.335	3.326	3.304	3.251	
3.336	3.335	3.326	3.304	3.391	
3.336	3.335	3.326	3.304	3.217	
3.336	3.335	3.326	3.304	3.374	
3.336	3.335	3.326	3.304	3.453	
3.336	3.335	3.326	3.304	3.247	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.461	
3.336	3.335	3.326	3.304	3.251	
3.336	3.335	3.326	3.304	3.391	
3.336	3.335	3.326	3.304	3.217	
3.336	3.335	3.326	3.304	3.374	
3.336	3.335	3.326	3.304	3.208	
3.336	3.335	3.326	3.304	3.370	
3.336	3.335	3.326	3.304	3.206	
3.336	3.335	3.326	3.304	3.369	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.450	
3.336	3.335	3.326	3.304	3.246	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.215	
3.336	3.335	3.326	3.304	3.373	
3.336	3.335	3.326	3.304	3.208	
3.336	3.335	3.326	3.304	3.370	
3.336	3.335	3.326	3.304	3.206	
3.336	3.335	3.326	3.304	3.369	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.450	
3.336	3.335	3.326	3.304	3.246	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.215	
3.336	3.335	3.326	3.304	3.373	
3.336	3.335	3.326	3.304	3.208	
3.336	3.335	3.326	3.304	3.370	
3.336	3.335	3.326	3.304	3.206	
3.336	3.335	3.326	3.304	3.369	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.205	
3.336	3.335	3.326	3.304	3.368	
3.336	3.335	3.326	3.304	3.450	
3.336	3.335	3.326	3.304	3.246	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.215	
3.336	3.335	3.326	3.304	3.373	
3.336	3.335	3.326	3.304	3.208	
3.336	3.335	3.326	3.304	3.370	
3.336	3.335	3.326	3.304	3.451	
3.336	3.335	3.326	3.304	3.246	
3.336	3.335	3.326	3.304	3.389	
3.336	3.335	3.326	3.304	3.215	
